"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"Ohio",NA,"Past",2020-03-05,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Ohio",NA,"Past",2020-03-05,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Ohio",NA,"Past",2020-03-05,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Ohio",NA,"Past",2020-03-05,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Ohio","linear_increase_sd","Past",2020-03-05,"combined_trend",NA,NA,NA,0.992491597185651,NA,NA,NA,NA
"Ohio","return_normal","Past",2020-03-05,"combined_trend",NA,NA,NA,0.992491597185651,NA,NA,NA,NA
"Ohio","status_quo","Past",2020-03-05,"combined_trend",NA,NA,NA,0.992491597185651,NA,NA,NA,NA
"Ohio","linear_increase_sd","Past",2020-03-05,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Ohio","return_normal","Past",2020-03-05,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Ohio","status_quo","Past",2020-03-05,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Ohio","linear_increase_sd","Past",2020-03-05,"cumulative_cases",0,0,0,0,0,0,0,0
"Ohio","return_normal","Past",2020-03-05,"cumulative_cases",0,0,0,0,0,0,0,0
"Ohio","status_quo","Past",2020-03-05,"cumulative_cases",0,0,0,0,0,0,0,0
"Ohio","linear_increase_sd","Past",2020-03-05,"cumulative_deaths",0,0,0,0,0,0,0,0
"Ohio","return_normal","Past",2020-03-05,"cumulative_deaths",0,0,0,0,0,0,0,0
"Ohio","status_quo","Past",2020-03-05,"cumulative_deaths",0,0,0,0,0,0,0,0
"Ohio","linear_increase_sd","Past",2020-03-05,"cumulative_hosps",0,0,0,0,0,0,0,0
"Ohio","return_normal","Past",2020-03-05,"cumulative_hosps",0,0,0,0,0,0,0,0
"Ohio","status_quo","Past",2020-03-05,"cumulative_hosps",0,0,0,0,0,0,0,0
"Ohio","linear_increase_sd","Past",2020-03-05,"daily_all_infections",0,0,0,0,0,0,0,0
"Ohio","return_normal","Past",2020-03-05,"daily_all_infections",0,0,0,0,0,0,0,0
"Ohio","status_quo","Past",2020-03-05,"daily_all_infections",0,0,0,0,0,0,0,0
"Ohio","linear_increase_sd","Past",2020-03-05,"daily_cases",0,0,0,0,0,0,0,0
"Ohio","return_normal","Past",2020-03-05,"daily_cases",0,0,0,0,0,0,0,0
"Ohio","status_quo","Past",2020-03-05,"daily_cases",0,0,0,0,0,0,0,0
"Ohio","linear_increase_sd","Past",2020-03-05,"daily_deaths",0,0,0,0,0,0,0,0
"Ohio","return_normal","Past",2020-03-05,"daily_deaths",0,0,0,0,0,0,0,0
"Ohio","status_quo","Past",2020-03-05,"daily_deaths",0,0,0,0,0,0,0,0
"Ohio","linear_increase_sd","Past",2020-03-05,"daily_hosps",0,0,0,0,0,0,0,0
"Ohio","return_normal","Past",2020-03-05,"daily_hosps",0,0,0,0,0,0,0,0
"Ohio","status_quo","Past",2020-03-05,"daily_hosps",0,0,0,0,0,0,0,0
"Ohio","linear_increase_sd","Past",2020-03-05,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Ohio","return_normal","Past",2020-03-05,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Ohio","status_quo","Past",2020-03-05,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Ohio","linear_increase_sd","Past",2020-03-05,"mobility_trend",NA,NA,NA,0.992491597185651,NA,NA,NA,NA
"Ohio","return_normal","Past",2020-03-05,"mobility_trend",NA,NA,NA,0.992491597185651,NA,NA,NA,NA
"Ohio","status_quo","Past",2020-03-05,"mobility_trend",NA,NA,NA,0.992491597185651,NA,NA,NA,NA
"Ohio",NA,"Past",2020-03-06,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Ohio",NA,"Past",2020-03-06,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Ohio",NA,"Past",2020-03-06,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Ohio",NA,"Past",2020-03-06,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Ohio","linear_increase_sd","Past",2020-03-06,"combined_trend",NA,NA,NA,0.984069010839449,NA,NA,NA,NA
"Ohio","return_normal","Past",2020-03-06,"combined_trend",NA,NA,NA,0.984069010839449,NA,NA,NA,NA
"Ohio","status_quo","Past",2020-03-06,"combined_trend",NA,NA,NA,0.984069010839449,NA,NA,NA,NA
"Ohio","linear_increase_sd","Past",2020-03-06,"cumulative_all_infections",19,19,19,19,19,19,19,19
"Ohio","return_normal","Past",2020-03-06,"cumulative_all_infections",19,19,19,19,19,19,19,19
"Ohio","status_quo","Past",2020-03-06,"cumulative_all_infections",19,19,19,19,19,19,19,19
"Ohio","linear_increase_sd","Past",2020-03-06,"cumulative_cases",1,1,1,1,1,1,1,1
"Ohio","return_normal","Past",2020-03-06,"cumulative_cases",1,1,1,1,1,1,1,1
"Ohio","status_quo","Past",2020-03-06,"cumulative_cases",1,1,1,1,1,1,1,1
"Ohio","linear_increase_sd","Past",2020-03-06,"cumulative_deaths",0,0,0,0,0,0,0,0
"Ohio","return_normal","Past",2020-03-06,"cumulative_deaths",0,0,0,0,0,0,0,0
"Ohio","status_quo","Past",2020-03-06,"cumulative_deaths",0,0,0,0,0,0,0,0
"Ohio","linear_increase_sd","Past",2020-03-06,"cumulative_hosps",1,1,1,1,1,1,1,1
"Ohio","return_normal","Past",2020-03-06,"cumulative_hosps",1,1,1,1,1,1,1,1
"Ohio","status_quo","Past",2020-03-06,"cumulative_hosps",1,1,1,1,1,1,1,1
"Ohio","linear_increase_sd","Past",2020-03-06,"daily_all_infections",19,19,19,19,19,19,19,19
"Ohio","return_normal","Past",2020-03-06,"daily_all_infections",19,19,19,19,19,19,19,19
"Ohio","status_quo","Past",2020-03-06,"daily_all_infections",19,19,19,19,19,19,19,19
"Ohio","linear_increase_sd","Past",2020-03-06,"daily_cases",1,1,1,1,1,1,1,1
"Ohio","return_normal","Past",2020-03-06,"daily_cases",1,1,1,1,1,1,1,1
"Ohio","status_quo","Past",2020-03-06,"daily_cases",1,1,1,1,1,1,1,1
"Ohio","linear_increase_sd","Past",2020-03-06,"daily_deaths",0,0,0,0,0,0,0,0
"Ohio","return_normal","Past",2020-03-06,"daily_deaths",0,0,0,0,0,0,0,0
"Ohio","status_quo","Past",2020-03-06,"daily_deaths",0,0,0,0,0,0,0,0
"Ohio","linear_increase_sd","Past",2020-03-06,"daily_hosps",1,1,1,1,1,1,1,1
"Ohio","return_normal","Past",2020-03-06,"daily_hosps",1,1,1,1,1,1,1,1
"Ohio","status_quo","Past",2020-03-06,"daily_hosps",1,1,1,1,1,1,1,1
"Ohio","linear_increase_sd","Past",2020-03-06,"latent_trend",NA,NA,NA,0.999842507868468,NA,NA,NA,NA
"Ohio","return_normal","Past",2020-03-06,"latent_trend",NA,NA,NA,0.999842507868468,NA,NA,NA,NA
"Ohio","status_quo","Past",2020-03-06,"latent_trend",NA,NA,NA,0.999842507868468,NA,NA,NA,NA
"Ohio","linear_increase_sd","Past",2020-03-06,"mobility_trend",NA,NA,NA,0.984224018378009,NA,NA,NA,NA
"Ohio","return_normal","Past",2020-03-06,"mobility_trend",NA,NA,NA,0.984224018378009,NA,NA,NA,NA
"Ohio","status_quo","Past",2020-03-06,"mobility_trend",NA,NA,NA,0.984224018378009,NA,NA,NA,NA
"Ohio",NA,"Past",2020-03-07,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Ohio",NA,"Past",2020-03-07,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Ohio",NA,"Past",2020-03-07,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Ohio",NA,"Past",2020-03-07,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Ohio","linear_increase_sd","Past",2020-03-07,"combined_trend",NA,NA,NA,0.974118336081345,NA,NA,NA,NA
"Ohio","return_normal","Past",2020-03-07,"combined_trend",NA,NA,NA,0.974118336081345,NA,NA,NA,NA
"Ohio","status_quo","Past",2020-03-07,"combined_trend",NA,NA,NA,0.974118336081345,NA,NA,NA,NA
"Ohio","linear_increase_sd","Past",2020-03-07,"cumulative_all_infections",47,47,47,47,47,47,47,47
"Ohio","return_normal","Past",2020-03-07,"cumulative_all_infections",47,47,47,47,47,47,47,47
"Ohio","status_quo","Past",2020-03-07,"cumulative_all_infections",47,47,47,47,47,47,47,47
"Ohio","linear_increase_sd","Past",2020-03-07,"cumulative_cases",2,2,2,2,2,2,2,2
"Ohio","return_normal","Past",2020-03-07,"cumulative_cases",2,2,2,2,2,2,2,2
"Ohio","status_quo","Past",2020-03-07,"cumulative_cases",2,2,2,2,2,2,2,2
"Ohio","linear_increase_sd","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"Ohio","return_normal","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"Ohio","status_quo","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"Ohio","linear_increase_sd","Past",2020-03-07,"cumulative_hosps",2,2,2,2,2,2,2,2
"Ohio","return_normal","Past",2020-03-07,"cumulative_hosps",2,2,2,2,2,2,2,2
"Ohio","status_quo","Past",2020-03-07,"cumulative_hosps",2,2,2,2,2,2,2,2
"Ohio","linear_increase_sd","Past",2020-03-07,"daily_all_infections",28,28,28,28,28,28,28,28
"Ohio","return_normal","Past",2020-03-07,"daily_all_infections",28,28,28,28,28,28,28,28
"Ohio","status_quo","Past",2020-03-07,"daily_all_infections",28,28,28,28,28,28,28,28
"Ohio","linear_increase_sd","Past",2020-03-07,"daily_cases",1,1,1,1,1,1,1,1
"Ohio","return_normal","Past",2020-03-07,"daily_cases",1,1,1,1,1,1,1,1
