"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"Pennsylvania",NA,"Past",2020-03-06,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-06,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-06,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-06,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Pennsylvania","linear_increase_sd","Past",2020-03-06,"combined_trend",NA,NA,NA,0.987489000648828,NA,NA,NA,NA
"Pennsylvania","return_normal","Past",2020-03-06,"combined_trend",NA,NA,NA,0.987489000648828,NA,NA,NA,NA
"Pennsylvania","status_quo","Past",2020-03-06,"combined_trend",NA,NA,NA,0.987489000648828,NA,NA,NA,NA
"Pennsylvania","linear_increase_sd","Past",2020-03-06,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Pennsylvania","return_normal","Past",2020-03-06,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Pennsylvania","status_quo","Past",2020-03-06,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Pennsylvania","linear_increase_sd","Past",2020-03-06,"cumulative_cases",0,0,0,0,0,0,0,0
"Pennsylvania","return_normal","Past",2020-03-06,"cumulative_cases",0,0,0,0,0,0,0,0
"Pennsylvania","status_quo","Past",2020-03-06,"cumulative_cases",0,0,0,0,0,0,0,0
"Pennsylvania","linear_increase_sd","Past",2020-03-06,"cumulative_deaths",0,0,0,0,0,0,0,0
"Pennsylvania","return_normal","Past",2020-03-06,"cumulative_deaths",0,0,0,0,0,0,0,0
"Pennsylvania","status_quo","Past",2020-03-06,"cumulative_deaths",0,0,0,0,0,0,0,0
"Pennsylvania","linear_increase_sd","Past",2020-03-06,"cumulative_hosps",0,0,0,0,0,0,0,0
"Pennsylvania","return_normal","Past",2020-03-06,"cumulative_hosps",0,0,0,0,0,0,0,0
"Pennsylvania","status_quo","Past",2020-03-06,"cumulative_hosps",0,0,0,0,0,0,0,0
"Pennsylvania","linear_increase_sd","Past",2020-03-06,"daily_all_infections",0,0,0,0,0,0,0,0
"Pennsylvania","return_normal","Past",2020-03-06,"daily_all_infections",0,0,0,0,0,0,0,0
"Pennsylvania","status_quo","Past",2020-03-06,"daily_all_infections",0,0,0,0,0,0,0,0
"Pennsylvania","linear_increase_sd","Past",2020-03-06,"daily_cases",0,0,0,0,0,0,0,0
"Pennsylvania","return_normal","Past",2020-03-06,"daily_cases",0,0,0,0,0,0,0,0
"Pennsylvania","status_quo","Past",2020-03-06,"daily_cases",0,0,0,0,0,0,0,0
"Pennsylvania","linear_increase_sd","Past",2020-03-06,"daily_deaths",0,0,0,0,0,0,0,0
"Pennsylvania","return_normal","Past",2020-03-06,"daily_deaths",0,0,0,0,0,0,0,0
"Pennsylvania","status_quo","Past",2020-03-06,"daily_deaths",0,0,0,0,0,0,0,0
"Pennsylvania","linear_increase_sd","Past",2020-03-06,"daily_hosps",0,0,0,0,0,0,0,0
"Pennsylvania","return_normal","Past",2020-03-06,"daily_hosps",0,0,0,0,0,0,0,0
"Pennsylvania","status_quo","Past",2020-03-06,"daily_hosps",0,0,0,0,0,0,0,0
"Pennsylvania","linear_increase_sd","Past",2020-03-06,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Pennsylvania","return_normal","Past",2020-03-06,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Pennsylvania","status_quo","Past",2020-03-06,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Pennsylvania","linear_increase_sd","Past",2020-03-06,"mobility_trend",NA,NA,NA,0.987489000648828,NA,NA,NA,NA
"Pennsylvania","return_normal","Past",2020-03-06,"mobility_trend",NA,NA,NA,0.987489000648828,NA,NA,NA,NA
"Pennsylvania","status_quo","Past",2020-03-06,"mobility_trend",NA,NA,NA,0.987489000648828,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-07,"actual_cumulative_cases",NA,NA,NA,2,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-07,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-07,"actual_daily_cases",NA,NA,NA,2,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-07,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Pennsylvania","linear_increase_sd","Past",2020-03-07,"combined_trend",NA,NA,NA,0.960586990650719,NA,NA,NA,NA
"Pennsylvania","return_normal","Past",2020-03-07,"combined_trend",NA,NA,NA,0.960586990650719,NA,NA,NA,NA
"Pennsylvania","status_quo","Past",2020-03-07,"combined_trend",NA,NA,NA,0.960586990650719,NA,NA,NA,NA
