"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"1","Alaska","data","Past",2020-03-06,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.740367926472312,1
"2","Alaska","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.740367926472312,1
"3","Alaska","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.817880182898694,0.983085086733273
"4","Alaska","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.817880182898694,0.983085086733273
"5","Alaska","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.695463559683803,0.980875963249111
"6","Alaska","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.695463559683803,0.980875963249111
"7","Alaska","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.765929220035964,0.978384667237352
"8","Alaska","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.765929220035964,0.978384667237352
"9","Alaska","data","Past",2020-03-10,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.810084710536834,0.977022630089974
"10","Alaska","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.810084710536834,0.977022630089974
"11","Alaska","data","Past",2020-03-11,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.755653041212308,0.97241471777321
"12","Alaska","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.755653041212308,0.97241471777321
"13","Alaska","data","Past",2020-03-12,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.711218628587298,0.964855153599207
"14","Alaska","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.711218628587298,0.964855153599207
"15","Alaska","data","Past",2020-03-13,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.694930253487533,0.96036116089903
"16","Alaska","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.694930253487533,0.96036116089903
"17","Alaska","data","Past",2020-03-14,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.75413022941433,0.946596670200176
"18","Alaska","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.75413022941433,0.946596670200176
"19","Alaska","data","Past",2020-03-15,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.734578391478629,0.928408800555447
"20","Alaska","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.734578391478629,0.928408800555447
"21","Alaska","data","Past",2020-03-16,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.790496588227908,0.899121377269943
"22","Alaska","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.790496588227908,0.899121377269943
"23","Alaska","data","Past",2020-03-17,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.708872822833632,0.887204593717107
"24","Alaska","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.708872822833632,0.887204593717107
"25","Alaska","data","Past",2020-03-18,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.702665118934881,0.851952801968311
"26","Alaska","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.702665118934881,0.851952801968311
"27","Alaska","data","Past",2020-03-19,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.73695409232897,0.798186777739621
"28","Alaska","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.73695409232897,0.798186777739621
"29","Alaska","data","Past",2020-03-20,"daily_cases",NA,NA,NA,6,NA,NA,NA,NA,0.68575427880484,0.743168008612481
"30","Alaska","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.68575427880484,0.743168008612481
"31","Alaska","data","Past",2020-03-21,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.686866916030929,0.718594392570856
"32","Alaska","data","Past",2020-03-21,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.686866916030929,0.718594392570856
"33","Alaska","data","Past",2020-03-22,"daily_cases",NA,NA,NA,8,NA,NA,NA,NA,0.681936341668222,0.679178699175393
"34","Alaska","data","Past",2020-03-22,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.681936341668222,0.679178699175393
"35","Alaska","data","Past",2020-03-23,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.682797195831448,0.607663169832892
"36","Alaska","data","Past",2020-03-23,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.682797195831448,0.607663169832892
"37","Alaska","data","Past",2020-03-24,"daily_cases",NA,NA,NA,14,NA,NA,NA,NA,0.798403773575154,0.546738151984614
"38","Alaska","data","Past",2020-03-24,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.798403773575154,0.546738151984614
"39","Alaska","data","Past",2020-03-25,"daily_cases",NA,NA,NA,6,NA,NA,NA,NA,0.729686586130885,0.531209373373756
"40","Alaska","data","Past",2020-03-25,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.729686586130885,0.531209373373756
"41","Alaska","data","Past",2020-03-26,"daily_cases",NA,NA,NA,17,NA,NA,NA,NA,0.699438761828046,0.453261848015386
"42","Alaska","data","Past",2020-03-26,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.699438761828046,0.453261848015386
"43","Alaska","data","Past",2020-03-27,"daily_cases",NA,NA,NA,10,NA,NA,NA,NA,0.75023051051291,0.422504634814188
"44","Alaska","data","Past",2020-03-27,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.75023051051291,0.422504634814188
"45","Alaska","data","Past",2020-03-28,"daily_cases",NA,NA,NA,16,NA,NA,NA,NA,0.72589128875593,0.422504634814188
"46","Alaska","data","Past",2020-03-28,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.72589128875593,0.422504634814188
"47","Alaska","data","Past",2020-03-29,"daily_cases",NA,NA,NA,17,NA,NA,NA,NA,0.736984909230486,0.40733340004593
"48","Alaska","data","Past",2020-03-29,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.736984909230486,0.40733340004593
"49","Alaska","data","Past",2020-03-30,"daily_cases",NA,NA,NA,12,NA,NA,NA,NA,0.829047931757069,0.362969205519617
"50","Alaska","data","Past",2020-03-30,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.829047931757069,0.362969205519617
"51","Alaska","data","Past",2020-03-31,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA,0.729894438115728,0.348645135333946
"52","Alaska","data","Past",2020-03-31,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.729894438115728,0.348645135333946
"53","Alaska","data","Past",2020-04-01,"daily_cases",NA,NA,NA,14,NA,NA,NA,NA,0.745679152688812,0.281405607429144
"54","Alaska","data","Past",2020-04-01,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.745679152688812,0.281405607429144
"55","Alaska","data","Past",2020-04-02,"daily_cases",NA,NA,NA,10,NA,NA,NA,NA,0.695129001180696,0.268941421369995
"56","Alaska","data","Past",2020-04-02,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.695129001180696,0.268941421369995
"57","Alaska","data","Past",2020-04-03,"daily_cases",NA,NA,NA,14,NA,NA,NA,NA,0.681219258644707,0.268941421369995
