"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"1","Oregon","data","Past",2020-03-04,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.770117409790928,1
"2","Oregon","data","Past",2020-03-04,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.770117409790928,1
"3","Oregon","data","Past",2020-03-05,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.759235565551723,0.964855153599207
"4","Oregon","data","Past",2020-03-05,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.759235565551723,0.964855153599207
"5","Oregon","data","Past",2020-03-06,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.773137037790227,0.968856169465221
"6","Oregon","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.773137037790227,0.968856169465221
"7","Oregon","data","Past",2020-03-07,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.834918043464513,0.970687769248644
"8","Oregon","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.834918043464513,0.970687769248644
"9","Oregon","data","Past",2020-03-08,"daily_cases",NA,NA,NA,7,NA,NA,NA,NA,0.870081003159442,0.968856169465221
"10","Oregon","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.870081003159442,0.968856169465221
"11","Oregon","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.844487019936556,0.962673112655871
"12","Oregon","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.844487019936556,0.962673112655871
"13","Oregon","data","Past",2020-03-10,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.858619397316691,0.962673112655871
"14","Oregon","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.858619397316691,0.962673112655871
"15","Oregon","data","Past",2020-03-11,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.825870509081303,0.957912272084381
"16","Oregon","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.825870509081303,0.957912272084381
"17","Oregon","data","Past",2020-03-12,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.738519406705131,0.943347574692026
"18","Oregon","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.738519406705131,0.943347574692026
"19","Oregon","data","Past",2020-03-13,"daily_cases",NA,NA,NA,11,NA,NA,NA,NA,0.766020556109296,0.939913349825993
"20","Oregon","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.766020556109296,0.939913349825993
"21","Oregon","data","Past",2020-03-14,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.742511044690154,0.936285005748035
"22","Oregon","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.742511044690154,0.936285005748035
"23","Oregon","data","Past",2020-03-15,"daily_cases",NA,NA,NA,6,NA,NA,NA,NA,0.784405339669289,0.909907006038048
"24","Oregon","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.784405339669289,0.909907006038048
"25","Oregon","data","Past",2020-03-16,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.766127888950883,0.899121377269943
