"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"1","Michigan","data","Past",2020-03-01,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.627809486972827,1
"2","Michigan","data","Past",2020-03-01,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.627809486972827,1
"3","Michigan","data","Past",2020-03-02,"daily_cases",NA,NA,NA,9,NA,NA,NA,NA,0.660588056857351,0.841130895119085
"4","Michigan","data","Past",2020-03-02,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.660588056857351,0.841130895119085
"5","Michigan","data","Past",2020-03-03,"daily_cases",NA,NA,NA,16,NA,NA,NA,NA,0.700165013274782,0.791391472673955
"6","Michigan","data","Past",2020-03-03,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.700165013274782,0.791391472673955
"7","Michigan","data","Past",2020-03-04,"daily_cases",NA,NA,NA,18,NA,NA,NA,NA,0.690713250210742,0.791391472673955
"8","Michigan","data","Past",2020-03-04,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.690713250210742,0.791391472673955
"9","Michigan","data","Past",2020-03-05,"daily_cases",NA,NA,NA,20,NA,NA,NA,NA,0.770499519028161,0.791391472673955
"10","Michigan","data","Past",2020-03-05,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.770499519028161,0.791391472673955
"11","Michigan","data","Past",2020-03-06,"daily_cases",NA,NA,NA,26,NA,NA,NA,NA,0.648626563513865,0.791391472673955
"12","Michigan","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.648626563513865,0.791391472673955
"13","Michigan","data","Past",2020-03-07,"daily_cases",NA,NA,NA,30,NA,NA,NA,NA,0.693435995933339,0.731058578630005
"14","Michigan","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.693435995933339,0.731058578630005
"15","Michigan","data","Past",2020-03-08,"daily_cases",NA,NA,NA,40,NA,NA,NA,NA,0.697979571096193,0.731058578630005
"16","Michigan","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.697979571096193,0.731058578630005
"17","Michigan","data","Past",2020-03-09,"daily_cases",NA,NA,NA,86,NA,NA,NA,NA,0.77836364333933,0.660756368765817
"18","Michigan","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.77836364333933,0.660756368765817
"19","Michigan","data","Past",2020-03-10,"daily_cases",NA,NA,NA,104,NA,NA,NA,NA,0.764646319598191,0.660756368765817
"20","Michigan","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.764646319598191,0.660756368765817
"21","Michigan","data","Past",2020-03-11,"daily_cases",NA,NA,NA,139,NA,NA,NA,NA,0.619870668617864,0.582570206462315
"22","Michigan","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.619870668617864,0.582570206462315
"23","Michigan","data","Past",2020-03-12,"daily_cases",NA,NA,NA,205,NA,NA,NA,NA,0.818369906596909,0.5
"24","Michigan","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.818369906596909,0.5
"25","Michigan","data","Past",2020-03-13,"daily_cases",NA,NA,NA,243,NA,NA,NA,NA,0.793463807403845,0.5
"26","Michigan","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.793463807403845,0.5
"27","Michigan","data","Past",2020-03-14,"daily_cases",NA,NA,NA,251,NA,NA,NA,NA,0.799933514630481,0.5
"28","Michigan","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.799933514630481,0.5
"29","Michigan","data","Past",2020-03-15,"daily_cases",NA,NA,NA,284,NA,NA,NA,NA,0.677135325809019,0.5
"30","Michigan","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.677135325809019,0.5
"31","Michigan","data","Past",2020-03-16,"daily_cases",NA,NA,NA,453,NA,NA,NA,NA,0.705702367225118,0.5
"32","Michigan","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.705702367225118,0.5
"33","Michigan","data","Past",2020-03-17,"daily_cases",NA,NA,NA,460,NA,NA,NA,NA,0.742018168519403,0.5
"34","Michigan","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.742018168519403,0.5
"35","Michigan","data","Past",2020-03-18,"daily_cases",NA,NA,NA,520,NA,NA,NA,NA,0.78629706735597,0.417429793537685
"36","Michigan","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.78629706735597,0.417429793537685
"37","Michigan","data","Past",2020-03-19,"daily_cases",NA,NA,NA,479,NA,NA,NA,NA,0.757732863676153,0.417429793537685
"38","Michigan","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.757732863676153,0.417429793537685
"39","Michigan","data","Past",2020-03-20,"daily_cases",NA,NA,NA,635,NA,NA,NA,NA,0.747039047749082,0.417429793537685
"40","Michigan","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.747039047749082,0.417429793537685
"41","Michigan","data","Past",2020-03-21,"daily_cases",NA,NA,NA,516,NA,NA,NA,NA,0.61981443356839,0.417429793537685
"42","Michigan","data","Past",2020-03-21,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.61981443356839,0.417429793537685
"43","Michigan","data","Past",2020-03-22,"daily_cases",NA,NA,NA,555,NA,NA,NA,NA,0.631763090787432,0.417429793537685
"44","Michigan","data","Past",2020-03-22,"daily_deaths",NA,NA,NA,3,NA,NA,NA,NA,0.631763090787432,0.417429793537685
"45","Michigan","data","Past",2020-03-23,"daily_cases",NA,NA,NA,691,NA,NA,NA,NA,0.624661944711928,0.339243631234183
"46","Michigan","data","Past",2020-03-23,"daily_deaths",NA,NA,NA,7,NA,NA,NA,NA,0.624661944711928,0.339243631234183
"47","Michigan","data","Past",2020-03-24,"daily_cases",NA,NA,NA,652,NA,NA,NA,NA,0.657153908622531,0.339243631234183
"48","Michigan","data","Past",2020-03-24,"daily_deaths",NA,NA,NA,9,NA,NA,NA,NA,0.657153908622531,0.339243631234183
"49","Michigan","data","Past",2020-03-25,"daily_cases",NA,NA,NA,619,NA,NA,NA,NA,0.75542059298802,0.339243631234183
"50","Michigan","data","Past",2020-03-25,"daily_deaths",NA,NA,NA,19,NA,NA,NA,NA,0.75542059298802,0.339243631234183
"51","Michigan","data","Past",2020-03-26,"daily_cases",NA,NA,NA,707,NA,NA,NA,NA,0.667326464693422,0.339243631234183
"52","Michigan","data","Past",2020-03-26,"daily_deaths",NA,NA,NA,17,NA,NA,NA,NA,0.667326464693422,0.339243631234183
"53","Michigan","data","Past",2020-03-27,"daily_cases",NA,NA,NA,892,NA,NA,NA,NA,0.622149299184133,0.339243631234183
"54","Michigan","data","Past",2020-03-27,"daily_deaths",NA,NA,NA,32,NA,NA,NA,NA,0.622149299184133,0.339243631234183
"55","Michigan","data","Past",2020-03-28,"daily_cases",NA,NA,NA,628,NA,NA,NA,NA,0.641830270995059,0.339243631234183
"56","Michigan","data","Past",2020-03-28,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.641830270995059,0.339243631234183
"57","Michigan","data","Past",2020-03-29,"daily_cases",NA,NA,NA,723,NA,NA,NA,NA,0.703707523471316,0.339243631234183
"58","Michigan","data","Past",2020-03-29,"daily_deaths",NA,NA,NA,40,NA,NA,NA,NA,0.703707523471316,0.339243631234183
"59","Michigan","data","Past",2020-03-30,"daily_cases",NA,NA,NA,891,NA,NA,NA,NA,0.62157628740799,0.339243631234183
"60","Michigan","data","Past",2020-03-30,"daily_deaths",NA,NA,NA,52,NA,NA,NA,NA,0.62157628740799,0.339243631234183
"61","Michigan","data","Past",2020-03-31,"daily_cases",NA,NA,NA,974,NA,NA,NA,NA,0.655220770922016,0.339243631234183
"62","Michigan","data","Past",2020-03-31,"daily_deaths",NA,NA,NA,75,NA,NA,NA,NA,0.655220770922016,0.339243631234183
"63","Michigan","data","Past",2020-04-01,"daily_cases",NA,NA,NA,1013,NA,NA,NA,NA,0.638294969573433,0.339243631234183
"64","Michigan","data","Past",2020-04-01,"daily_deaths",NA,NA,NA,78,NA,NA,NA,NA,0.638294969573433,0.339243631234183
"65","Michigan","data","Past",2020-04-02,"daily_cases",NA,NA,NA,1229,NA,NA,NA,NA,0.627573955489851,0.268941421369995
"66","Michigan","data","Past",2020-04-02,"daily_deaths",NA,NA,NA,80,NA,NA,NA,NA,0.627573955489851,0.268941421369995
"67","Michigan","data","Past",2020-04-03,"daily_cases",NA,NA,NA,1135,NA,NA,NA,NA,0.729143493298299,0.268941421369995
"68","Michigan","data","Past",2020-04-03,"daily_deaths",NA,NA,NA,62,NA,NA,NA,NA,0.729143493298299,0.268941421369995
"69","Michigan","data","Past",2020-04-04,"daily_cases",NA,NA,NA,1143,NA,NA,NA,NA,0.70045673884731,0.268941421369995
"70","Michigan","data","Past",2020-04-04,"daily_deaths",NA,NA,NA,61,NA,NA,NA,NA,0.70045673884731,0.268941421369995
"71","Michigan","data","Past",2020-04-05,"daily_cases",NA,NA,NA,1172,NA,NA,NA,NA,0.695739797498017,0.268941421369995
"72","Michigan","data","Past",2020-04-05,"daily_deaths",NA,NA,NA,77,NA,NA,NA,NA,0.695739797498017,0.268941421369995
"73","Michigan","data","Past",2020-04-06,"daily_cases",NA,NA,NA,1283,NA,NA,NA,NA,0.621379053076683,0.268941421369995
