"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"California",NA,"Past",2020-03-06,"actual_cumulative_cases",NA,NA,NA,7,NA,NA,NA,NA
"California",NA,"Past",2020-03-06,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"California",NA,"Past",2020-03-06,"actual_daily_cases",NA,NA,NA,7,NA,NA,NA,NA
"California",NA,"Past",2020-03-06,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"California","linear_increase_sd","Past",2020-03-06,"combined_trend",NA,NA,NA,0.927364265577155,NA,NA,NA,NA
"California","return_normal","Past",2020-03-06,"combined_trend",NA,NA,NA,0.927364265577155,NA,NA,NA,NA
"California","status_quo","Past",2020-03-06,"combined_trend",NA,NA,NA,0.927364265577155,NA,NA,NA,NA
"California","linear_increase_sd","Past",2020-03-06,"cumulative_all_infections",0,0,0,0,0,0,0,0
"California","return_normal","Past",2020-03-06,"cumulative_all_infections",0,0,0,0,0,0,0,0
"California","status_quo","Past",2020-03-06,"cumulative_all_infections",0,0,0,0,0,0,0,0
"California","linear_increase_sd","Past",2020-03-06,"cumulative_cases",0,0,0,0,0,0,0,0
"California","return_normal","Past",2020-03-06,"cumulative_cases",0,0,0,0,0,0,0,0
"California","status_quo","Past",2020-03-06,"cumulative_cases",0,0,0,0,0,0,0,0
"California","linear_increase_sd","Past",2020-03-06,"cumulative_deaths",0,0,0,0,0,0,0,0
"California","return_normal","Past",2020-03-06,"cumulative_deaths",0,0,0,0,0,0,0,0
"California","status_quo","Past",2020-03-06,"cumulative_deaths",0,0,0,0,0,0,0,0
"California","linear_increase_sd","Past",2020-03-06,"cumulative_hosps",0,0,0,0,0,0,0,0
"California","return_normal","Past",2020-03-06,"cumulative_hosps",0,0,0,0,0,0,0,0
"California","status_quo","Past",2020-03-06,"cumulative_hosps",0,0,0,0,0,0,0,0
"California","linear_increase_sd","Past",2020-03-06,"daily_all_infections",0,0,0,0,0,0,0,0
"California","return_normal","Past",2020-03-06,"daily_all_infections",0,0,0,0,0,0,0,0
"California","status_quo","Past",2020-03-06,"daily_all_infections",0,0,0,0,0,0,0,0
"California","linear_increase_sd","Past",2020-03-06,"daily_cases",0,0,0,0,0,0,0,0
"California","return_normal","Past",2020-03-06,"daily_cases",0,0,0,0,0,0,0,0
"California","status_quo","Past",2020-03-06,"daily_cases",0,0,0,0,0,0,0,0
"California","linear_increase_sd","Past",2020-03-06,"daily_deaths",0,0,0,0,0,0,0,0
"California","return_normal","Past",2020-03-06,"daily_deaths",0,0,0,0,0,0,0,0
"California","status_quo","Past",2020-03-06,"daily_deaths",0,0,0,0,0,0,0,0
"California","linear_increase_sd","Past",2020-03-06,"daily_hosps",0,0,0,0,0,0,0,0
"California","return_normal","Past",2020-03-06,"daily_hosps",0,0,0,0,0,0,0,0
"California","status_quo","Past",2020-03-06,"daily_hosps",0,0,0,0,0,0,0,0
"California","linear_increase_sd","Past",2020-03-06,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"California","return_normal","Past",2020-03-06,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"California","status_quo","Past",2020-03-06,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"California","linear_increase_sd","Past",2020-03-06,"mobility_trend",NA,NA,NA,0.927364265577155,NA,NA,NA,NA
"California","return_normal","Past",2020-03-06,"mobility_trend",NA,NA,NA,0.927364265577155,NA,NA,NA,NA
"California","status_quo","Past",2020-03-06,"mobility_trend",NA,NA,NA,0.927364265577155,NA,NA,NA,NA
"California",NA,"Past",2020-03-07,"actual_cumulative_cases",NA,NA,NA,16,NA,NA,NA,NA
"California",NA,"Past",2020-03-07,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"California",NA,"Past",2020-03-07,"actual_daily_cases",NA,NA,NA,9,NA,NA,NA,NA
"California",NA,"Past",2020-03-07,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"California","linear_increase_sd","Past",2020-03-07,"combined_trend",NA,NA,NA,0.906524193631017,NA,NA,NA,NA
"California","return_normal","Past",2020-03-07,"combined_trend",NA,NA,NA,0.906524193631017,NA,NA,NA,NA
"California","status_quo","Past",2020-03-07,"combined_trend",NA,NA,NA,0.906524193631017,NA,NA,NA,NA
"California","linear_increase_sd","Past",2020-03-07,"cumulative_all_infections",224,224,224,224,224,224,224,224
"California","return_normal","Past",2020-03-07,"cumulative_all_infections",224,224,224,224,224,224,224,224
"California","status_quo","Past",2020-03-07,"cumulative_all_infections",224,224,224,224,224,224,224,224
"California","linear_increase_sd","Past",2020-03-07,"cumulative_cases",15,15,15,15,15,15,15,15
"California","return_normal","Past",2020-03-07,"cumulative_cases",15,15,15,15,15,15,15,15
"California","status_quo","Past",2020-03-07,"cumulative_cases",15,15,15,15,15,15,15,15
"California","linear_increase_sd","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"California","return_normal","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"California","status_quo","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"California","linear_increase_sd","Past",2020-03-07,"cumulative_hosps",1,1,1,1,1,1,1,1
"California","return_normal","Past",2020-03-07,"cumulative_hosps",1,1,1,1,1,1,1,1
"California","status_quo","Past",2020-03-07,"cumulative_hosps",1,1,1,1,1,1,1,1
"California","linear_increase_sd","Past",2020-03-07,"daily_all_infections",224,224,224,224,224,224,224,224
"California","return_normal","Past",2020-03-07,"daily_all_infections",224,224,224,224,224,224,224,224
"California","status_quo","Past",2020-03-07,"daily_all_infections",224,224,224,224,224,224,224,224
"California","linear_increase_sd","Past",2020-03-07,"daily_cases",15,15,15,15,15,15,15,15
"California","return_normal","Past",2020-03-07,"daily_cases",15,15,15,15,15,15,15,15
"California","status_quo","Past",2020-03-07,"daily_cases",15,15,15,15,15,15,15,15
"California","linear_increase_sd","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"California","return_normal","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"California","status_quo","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"California","linear_increase_sd","Past",2020-03-07,"daily_hosps",1,1,1,1,1,1,1,1
"California","return_normal","Past",2020-03-07,"daily_hosps",1,1,1,1,1,1,1,1
"California","status_quo","Past",2020-03-07,"daily_hosps",1,1,1,1,1,1,1,1
"California","linear_increase_sd","Past",2020-03-07,"latent_trend",NA,NA,NA,0.990807907426455,NA,NA,NA,NA
"California","return_normal","Past",2020-03-07,"latent_trend",NA,NA,NA,0.990807907426455,NA,NA,NA,NA
"California","status_quo","Past",2020-03-07,"latent_trend",NA,NA,NA,0.990807907426455,NA,NA,NA,NA
"California","linear_increase_sd","Past",2020-03-07,"mobility_trend",NA,NA,NA,0.91493435492016,NA,NA,NA,NA
"California","return_normal","Past",2020-03-07,"mobility_trend",NA,NA,NA,0.91493435492016,NA,NA,NA,NA
"California","status_quo","Past",2020-03-07,"mobility_trend",NA,NA,NA,0.91493435492016,NA,NA,NA,NA
"California",NA,"Past",2020-03-08,"actual_cumulative_cases",NA,NA,NA,35,NA,NA,NA,NA
"California",NA,"Past",2020-03-08,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"California",NA,"Past",2020-03-08,"actual_daily_cases",NA,NA,NA,19,NA,NA,NA,NA
"California",NA,"Past",2020-03-08,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"California","linear_increase_sd","Past",2020-03-08,"combined_trend",NA,NA,NA,0.8924405770282,NA,NA,NA,NA
"California","return_normal","Past",2020-03-08,"combined_trend",NA,NA,NA,0.8924405770282,NA,NA,NA,NA
"California","status_quo","Past",2020-03-08,"combined_trend",NA,NA,NA,0.8924405770282,NA,NA,NA,NA
"California","linear_increase_sd","Past",2020-03-08,"cumulative_all_infections",631,631,631,631,631,631,631,631
"California","return_normal","Past",2020-03-08,"cumulative_all_infections",631,631,631,631,631,631,631,631
"California","status_quo","Past",2020-03-08,"cumulative_all_infections",631,631,631,631,631,631,631,631
"California","linear_increase_sd","Past",2020-03-08,"cumulative_cases",33,33,33,33,33,33,33,33
"California","return_normal","Past",2020-03-08,"cumulative_cases",33,33,33,33,33,33,33,33
"California","status_quo","Past",2020-03-08,"cumulative_cases",33,33,33,33,33,33,33,33
"California","linear_increase_sd","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"California","return_normal","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"California","status_quo","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"California","linear_increase_sd","Past",2020-03-08,"cumulative_hosps",2,2,2,2,2,2,2,2
"California","return_normal","Past",2020-03-08,"cumulative_hosps",2,2,2,2,2,2,2,2
"California","status_quo","Past",2020-03-08,"cumulative_hosps",2,2,2,2,2,2,2,2
"California","linear_increase_sd","Past",2020-03-08,"daily_all_infections",407,407,407,407,407,407,407,407
"California","return_normal","Past",2020-03-08,"daily_all_infections",407,407,407,407,407,407,407,407
"California","status_quo","Past",2020-03-08,"daily_all_infections",407,407,407,407,407,407,407,407
"California","linear_increase_sd","Past",2020-03-08,"daily_cases",18,18,18,18,18,18,18,18
"California","return_normal","Past",2020-03-08,"daily_cases",18,18,18,18,18,18,18,18
"California","status_quo","Past",2020-03-08,"daily_cases",18,18,18,18,18,18,18,18
"California","linear_increase_sd","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"California","return_normal","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"California","status_quo","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"California","linear_increase_sd","Past",2020-03-08,"daily_hosps",1,1,1,1,1,1,1,1
"California","return_normal","Past",2020-03-08,"daily_hosps",1,1,1,1,1,1,1,1
"California","status_quo","Past",2020-03-08,"daily_hosps",1,1,1,1,1,1,1,1
"California","linear_increase_sd","Past",2020-03-08,"latent_trend",NA,NA,NA,0.990007987666674,NA,NA,NA,NA
"California","return_normal","Past",2020-03-08,"latent_trend",NA,NA,NA,0.990007987666674,NA,NA,NA,NA
"California","status_quo","Past",2020-03-08,"latent_trend",NA,NA,NA,0.990007987666674,NA,NA,NA,NA
"California","linear_increase_sd","Past",2020-03-08,"mobility_trend",NA,NA,NA,0.901447855114353,NA,NA,NA,NA
"California","return_normal","Past",2020-03-08,"mobility_trend",NA,NA,NA,0.901447855114353,NA,NA,NA,NA
"California","status_quo","Past",2020-03-08,"mobility_trend",NA,NA,NA,0.901447855114353,NA,NA,NA,NA
"California",NA,"Past",2020-03-09,"actual_cumulative_cases",NA,NA,NA,61,NA,NA,NA,NA
"California",NA,"Past",2020-03-09,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"California",NA,"Past",2020-03-09,"actual_daily_cases",NA,NA,NA,26,NA,NA,NA,NA
"California",NA,"Past",2020-03-09,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"California","linear_increase_sd","Past",2020-03-09,"combined_trend",NA,NA,NA,0.877239454308446,NA,NA,NA,NA
"California","return_normal","Past",2020-03-09,"combined_trend",NA,NA,NA,0.877239454308446,NA,NA,NA,NA
"California","status_quo","Past",2020-03-09,"combined_trend",NA,NA,NA,0.877239454308446,NA,NA,NA,NA
"California","linear_increase_sd","Past",2020-03-09,"cumulative_all_infections",1202,1202,1202,1202,1202,1202,1202,1202
"California","return_normal","Past",2020-03-09,"cumulative_all_infections",1202,1202,1202,1202,1202,1202,1202,1202
"California","status_quo","Past",2020-03-09,"cumulative_all_infections",1202,1202,1202,1202,1202,1202,1202,1202
