"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"1","Rhode Island","data","Past",2020-03-01,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.653693439391258,1
"2","Rhode Island","data","Past",2020-03-01,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.653693439391258,1
"3","Rhode Island","data","Past",2020-03-02,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.68365192748172,0.987046272469304
"4","Rhode Island","data","Past",2020-03-02,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.68365192748172,0.987046272469304
"5","Rhode Island","data","Past",2020-03-03,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.639075872920898,0.988550948941036
"6","Rhode Island","data","Past",2020-03-03,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.639075872920898,0.988550948941036
"7","Rhode Island","data","Past",2020-03-04,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.743038401667076,0.991422514586288
"8","Rhode Island","data","Past",2020-03-04,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.743038401667076,0.991422514586288
"9","Rhode Island","data","Past",2020-03-05,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.676630447763709,0.992422758732139
"10","Rhode Island","data","Past",2020-03-05,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.676630447763709,0.992422758732139
"11","Rhode Island","data","Past",2020-03-06,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.696559264724271,0.993578534003394
"12","Rhode Island","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.696559264724271,0.993578534003394
"13","Rhode Island","data","Past",2020-03-07,"daily_cases",NA,NA,NA,NA,NA,NA,NA,NA,0.696376267110522,0.993838982939094
"14","Rhode Island","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.696376267110522,0.993838982939094
"15","Rhode Island","data","Past",2020-03-08,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.671603401801733,0.994328796986259
"16","Rhode Island","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.671603401801733,0.994328796986259
"17","Rhode Island","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.700926846885472,0.993838982939094
"18","Rhode Island","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.700926846885472,0.993838982939094
"19","Rhode Island","data","Past",2020-03-10,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.738240941504626,0.9945589825645
"20","Rhode Island","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.738240941504626,0.9945589825645
"21","Rhode Island","data","Past",2020-03-11,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.670366888233711,0.994991843551518
"22","Rhode Island","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.670366888233711,0.994991843551518
"23","Rhode Island","data","Past",2020-03-12,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.690765239936351,0.99519524711284
"24","Rhode Island","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.690765239936351,0.99519524711284
"25","Rhode Island","data","Past",2020-03-13,"daily_cases",NA,NA,NA,9,NA,NA,NA,NA,0.726539902207467,0.994991843551518
"26","Rhode Island","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.726539902207467,0.994991843551518
