"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"1","Wyoming","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.90600404707686,1
"2","Wyoming","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.90600404707686,1
"3","Wyoming","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.88426645313142,0.994478387270804
"4","Wyoming","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.88426645313142,0.994478387270804
"5","Wyoming","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.893277598105909,0.994298398849025
"6","Wyoming","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.893277598105909,0.994298398849025
"7","Wyoming","data","Past",2020-03-10,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.899537012126966,0.993722686818467
"8","Wyoming","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.899537012126966,0.993722686818467
"9","Wyoming","data","Past",2020-03-11,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.933596793320768,0.993089247025328
"10","Wyoming","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.933596793320768,0.993089247025328
"11","Wyoming","data","Past",2020-03-12,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.890032050381479,0.993307149075715
"12","Wyoming","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.890032050381479,0.993307149075715
"13","Wyoming","data","Past",2020-03-13,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.842138685052084,0.991625827243702
"14","Wyoming","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.842138685052084,0.991625827243702
"15","Wyoming","data","Past",2020-03-14,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.920776346295803,0.990782757269168
"16","Wyoming","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.920776346295803,0.990782757269168
