"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"South Carolina",NA,"Past",2020-03-04,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"South Carolina",NA,"Past",2020-03-04,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"South Carolina",NA,"Past",2020-03-04,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"South Carolina",NA,"Past",2020-03-04,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"South Carolina","linear_increase_sd","Past",2020-03-04,"combined_trend",NA,NA,NA,1,NA,NA,NA,NA
"South Carolina","return_normal","Past",2020-03-04,"combined_trend",NA,NA,NA,1,NA,NA,NA,NA
"South Carolina","status_quo","Past",2020-03-04,"combined_trend",NA,NA,NA,1,NA,NA,NA,NA
"South Carolina","linear_increase_sd","Past",2020-03-04,"cumulative_all_infections",0,0,0,0,0,0,0,0
"South Carolina","return_normal","Past",2020-03-04,"cumulative_all_infections",0,0,0,0,0,0,0,0
"South Carolina","status_quo","Past",2020-03-04,"cumulative_all_infections",0,0,0,0,0,0,0,0
"South Carolina","linear_increase_sd","Past",2020-03-04,"cumulative_cases",0,0,0,0,0,0,0,0
"South Carolina","return_normal","Past",2020-03-04,"cumulative_cases",0,0,0,0,0,0,0,0
"South Carolina","status_quo","Past",2020-03-04,"cumulative_cases",0,0,0,0,0,0,0,0
"South Carolina","linear_increase_sd","Past",2020-03-04,"cumulative_deaths",0,0,0,0,0,0,0,0
"South Carolina","return_normal","Past",2020-03-04,"cumulative_deaths",0,0,0,0,0,0,0,0
"South Carolina","status_quo","Past",2020-03-04,"cumulative_deaths",0,0,0,0,0,0,0,0
"South Carolina","linear_increase_sd","Past",2020-03-04,"cumulative_hosps",0,0,0,0,0,0,0,0
"South Carolina","return_normal","Past",2020-03-04,"cumulative_hosps",0,0,0,0,0,0,0,0
"South Carolina","status_quo","Past",2020-03-04,"cumulative_hosps",0,0,0,0,0,0,0,0
"South Carolina","linear_increase_sd","Past",2020-03-04,"daily_all_infections",0,0,0,0,0,0,0,0
"South Carolina","return_normal","Past",2020-03-04,"daily_all_infections",0,0,0,0,0,0,0,0
"South Carolina","status_quo","Past",2020-03-04,"daily_all_infections",0,0,0,0,0,0,0,0
"South Carolina","linear_increase_sd","Past",2020-03-04,"daily_cases",0,0,0,0,0,0,0,0
"South Carolina","return_normal","Past",2020-03-04,"daily_cases",0,0,0,0,0,0,0,0
"South Carolina","status_quo","Past",2020-03-04,"daily_cases",0,0,0,0,0,0,0,0
"South Carolina","linear_increase_sd","Past",2020-03-04,"daily_deaths",0,0,0,0,0,0,0,0
"South Carolina","return_normal","Past",2020-03-04,"daily_deaths",0,0,0,0,0,0,0,0
"South Carolina","status_quo","Past",2020-03-04,"daily_deaths",0,0,0,0,0,0,0,0
"South Carolina","linear_increase_sd","Past",2020-03-04,"daily_hosps",0,0,0,0,0,0,0,0
"South Carolina","return_normal","Past",2020-03-04,"daily_hosps",0,0,0,0,0,0,0,0
"South Carolina","status_quo","Past",2020-03-04,"daily_hosps",0,0,0,0,0,0,0,0
"South Carolina","linear_increase_sd","Past",2020-03-04,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"South Carolina","return_normal","Past",2020-03-04,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"South Carolina","status_quo","Past",2020-03-04,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"South Carolina","linear_increase_sd","Past",2020-03-04,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"South Carolina","return_normal","Past",2020-03-04,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"South Carolina","status_quo","Past",2020-03-04,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"South Carolina",NA,"Past",2020-03-05,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"South Carolina",NA,"Past",2020-03-05,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"South Carolina",NA,"Past",2020-03-05,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"South Carolina",NA,"Past",2020-03-05,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"South Carolina","linear_increase_sd","Past",2020-03-05,"combined_trend",NA,NA,NA,0.99433667463285,NA,NA,NA,NA
"South Carolina","return_normal","Past",2020-03-05,"combined_trend",NA,NA,NA,0.99433667463285,NA,NA,NA,NA
"South Carolina","status_quo","Past",2020-03-05,"combined_trend",NA,NA,NA,0.99433667463285,NA,NA,NA,NA
"South Carolina","linear_increase_sd","Past",2020-03-05,"cumulative_all_infections",17,17,16,20,20,23,26,26
"South Carolina","return_normal","Past",2020-03-05,"cumulative_all_infections",17,17,16,20,20,23,26,26
"South Carolina","status_quo","Past",2020-03-05,"cumulative_all_infections",17,17,16,20,20,23,26,26
"South Carolina","linear_increase_sd","Past",2020-03-05,"cumulative_cases",1,1,1,2,2,2,2,2
"South Carolina","return_normal","Past",2020-03-05,"cumulative_cases",1,1,1,2,2,2,2,2
"South Carolina","status_quo","Past",2020-03-05,"cumulative_cases",1,1,1,2,2,2,2,2
"South Carolina","linear_increase_sd","Past",2020-03-05,"cumulative_deaths",0,0,0,0,0,0,0,0
"South Carolina","return_normal","Past",2020-03-05,"cumulative_deaths",0,0,0,0,0,0,0,0
"South Carolina","status_quo","Past",2020-03-05,"cumulative_deaths",0,0,0,0,0,0,0,0
"South Carolina","linear_increase_sd","Past",2020-03-05,"cumulative_hosps",1,1,1,1,1,1,1,1
"South Carolina","return_normal","Past",2020-03-05,"cumulative_hosps",1,1,1,1,1,1,1,1
"South Carolina","status_quo","Past",2020-03-05,"cumulative_hosps",1,1,1,1,1,1,1,1
"South Carolina","linear_increase_sd","Past",2020-03-05,"daily_all_infections",17,17,16,20,20,23,26,26
"South Carolina","return_normal","Past",2020-03-05,"daily_all_infections",17,17,16,20,20,23,26,26
"South Carolina","status_quo","Past",2020-03-05,"daily_all_infections",17,17,16,20,20,23,26,26
"South Carolina","linear_increase_sd","Past",2020-03-05,"daily_cases",1,1,1,2,2,2,2,2
"South Carolina","return_normal","Past",2020-03-05,"daily_cases",1,1,1,2,2,2,2,2
"South Carolina","status_quo","Past",2020-03-05,"daily_cases",1,1,1,2,2,2,2,2
"South Carolina","linear_increase_sd","Past",2020-03-05,"daily_deaths",0,0,0,0,0,0,0,0
"South Carolina","return_normal","Past",2020-03-05,"daily_deaths",0,0,0,0,0,0,0,0
"South Carolina","status_quo","Past",2020-03-05,"daily_deaths",0,0,0,0,0,0,0,0
"South Carolina","linear_increase_sd","Past",2020-03-05,"daily_hosps",1,1,1,1,1,1,1,1
"South Carolina","return_normal","Past",2020-03-05,"daily_hosps",1,1,1,1,1,1,1,1
"South Carolina","status_quo","Past",2020-03-05,"daily_hosps",1,1,1,1,1,1,1,1
"South Carolina","linear_increase_sd","Past",2020-03-05,"latent_trend",NA,NA,NA,0.99433667463285,NA,NA,NA,NA
"South Carolina","return_normal","Past",2020-03-05,"latent_trend",NA,NA,NA,0.99433667463285,NA,NA,NA,NA
"South Carolina","status_quo","Past",2020-03-05,"latent_trend",NA,NA,NA,0.99433667463285,NA,NA,NA,NA
"South Carolina","linear_increase_sd","Past",2020-03-05,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"South Carolina","return_normal","Past",2020-03-05,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"South Carolina","status_quo","Past",2020-03-05,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"South Carolina",NA,"Past",2020-03-06,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"South Carolina",NA,"Past",2020-03-06,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"South Carolina",NA,"Past",2020-03-06,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"South Carolina",NA,"Past",2020-03-06,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"South Carolina","linear_increase_sd","Past",2020-03-06,"combined_trend",NA,NA,NA,0.993876235338676,NA,NA,NA,NA
