"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"New Jersey",NA,"Past",2020-02-10,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"New Jersey",NA,"Past",2020-02-10,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"New Jersey",NA,"Past",2020-02-10,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"New Jersey",NA,"Past",2020-02-10,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey","linear_increase_sd","Past",2020-02-10,"combined_trend",NA,NA,NA,0.999965456461685,NA,NA,NA,NA
"New Jersey","return_normal","Past",2020-02-10,"combined_trend",NA,NA,NA,0.999965456461685,NA,NA,NA,NA
"New Jersey","status_quo","Past",2020-02-10,"combined_trend",NA,NA,NA,0.999965456461685,NA,NA,NA,NA
"New Jersey","linear_increase_sd","Past",2020-02-10,"cumulative_all_infections",0,0,0,0,0,0,0,0
"New Jersey","return_normal","Past",2020-02-10,"cumulative_all_infections",0,0,0,0,0,0,0,0
"New Jersey","status_quo","Past",2020-02-10,"cumulative_all_infections",0,0,0,0,0,0,0,0
"New Jersey","linear_increase_sd","Past",2020-02-10,"cumulative_cases",0,0,0,0,0,0,0,0
"New Jersey","return_normal","Past",2020-02-10,"cumulative_cases",0,0,0,0,0,0,0,0
"New Jersey","status_quo","Past",2020-02-10,"cumulative_cases",0,0,0,0,0,0,0,0
"New Jersey","linear_increase_sd","Past",2020-02-10,"cumulative_deaths",0,0,0,0,0,0,0,0
"New Jersey","return_normal","Past",2020-02-10,"cumulative_deaths",0,0,0,0,0,0,0,0
"New Jersey","status_quo","Past",2020-02-10,"cumulative_deaths",0,0,0,0,0,0,0,0
"New Jersey","linear_increase_sd","Past",2020-02-10,"cumulative_hosps",0,0,0,0,0,0,0,0
"New Jersey","return_normal","Past",2020-02-10,"cumulative_hosps",0,0,0,0,0,0,0,0
"New Jersey","status_quo","Past",2020-02-10,"cumulative_hosps",0,0,0,0,0,0,0,0
"New Jersey","linear_increase_sd","Past",2020-02-10,"daily_all_infections",0,0,0,0,0,0,0,0
"New Jersey","return_normal","Past",2020-02-10,"daily_all_infections",0,0,0,0,0,0,0,0
"New Jersey","status_quo","Past",2020-02-10,"daily_all_infections",0,0,0,0,0,0,0,0
"New Jersey","linear_increase_sd","Past",2020-02-10,"daily_cases",0,0,0,0,0,0,0,0
"New Jersey","return_normal","Past",2020-02-10,"daily_cases",0,0,0,0,0,0,0,0
"New Jersey","status_quo","Past",2020-02-10,"daily_cases",0,0,0,0,0,0,0,0
"New Jersey","linear_increase_sd","Past",2020-02-10,"daily_deaths",0,0,0,0,0,0,0,0
"New Jersey","return_normal","Past",2020-02-10,"daily_deaths",0,0,0,0,0,0,0,0
"New Jersey","status_quo","Past",2020-02-10,"daily_deaths",0,0,0,0,0,0,0,0
"New Jersey","linear_increase_sd","Past",2020-02-10,"daily_hosps",0,0,0,0,0,0,0,0
"New Jersey","return_normal","Past",2020-02-10,"daily_hosps",0,0,0,0,0,0,0,0
"New Jersey","status_quo","Past",2020-02-10,"daily_hosps",0,0,0,0,0,0,0,0
"New Jersey","linear_increase_sd","Past",2020-02-10,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"New Jersey","return_normal","Past",2020-02-10,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"New Jersey","status_quo","Past",2020-02-10,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"New Jersey","linear_increase_sd","Past",2020-02-10,"mobility_trend",NA,NA,NA,0.999965456461685,NA,NA,NA,NA
"New Jersey","return_normal","Past",2020-02-10,"mobility_trend",NA,NA,NA,0.999965456461685,NA,NA,NA,NA
"New Jersey","status_quo","Past",2020-02-10,"mobility_trend",NA,NA,NA,0.999965456461685,NA,NA,NA,NA
"New Jersey",NA,"Past",2020-02-11,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"New Jersey",NA,"Past",2020-02-11,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
