"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"Mississippi",NA,"Past",2020-03-07,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Mississippi",NA,"Past",2020-03-07,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Mississippi",NA,"Past",2020-03-07,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Mississippi",NA,"Past",2020-03-07,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Mississippi","linear_increase_sd","Past",2020-03-07,"combined_trend",NA,NA,NA,1,NA,NA,NA,NA
"Mississippi","return_normal","Past",2020-03-07,"combined_trend",NA,NA,NA,1,NA,NA,NA,NA
"Mississippi","status_quo","Past",2020-03-07,"combined_trend",NA,NA,NA,1,NA,NA,NA,NA
"Mississippi","linear_increase_sd","Past",2020-03-07,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-07,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-07,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-07,"cumulative_cases",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-07,"cumulative_cases",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-07,"cumulative_cases",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-07,"cumulative_hosps",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-07,"cumulative_hosps",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-07,"cumulative_hosps",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-07,"daily_all_infections",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-07,"daily_all_infections",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-07,"daily_all_infections",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-07,"daily_cases",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-07,"daily_cases",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-07,"daily_cases",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-07,"daily_hosps",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-07,"daily_hosps",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-07,"daily_hosps",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-07,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Mississippi","return_normal","Past",2020-03-07,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Mississippi","status_quo","Past",2020-03-07,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Mississippi","linear_increase_sd","Past",2020-03-07,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"Mississippi","return_normal","Past",2020-03-07,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"Mississippi","status_quo","Past",2020-03-07,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"Mississippi",NA,"Past",2020-03-08,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Mississippi",NA,"Past",2020-03-08,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Mississippi",NA,"Past",2020-03-08,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Mississippi",NA,"Past",2020-03-08,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Mississippi","linear_increase_sd","Past",2020-03-08,"combined_trend",NA,NA,NA,0.941868815810286,NA,NA,NA,NA
"Mississippi","return_normal","Past",2020-03-08,"combined_trend",NA,NA,NA,0.941868815810286,NA,NA,NA,NA
"Mississippi","status_quo","Past",2020-03-08,"combined_trend",NA,NA,NA,0.941868815810286,NA,NA,NA,NA
"Mississippi","linear_increase_sd","Past",2020-03-08,"cumulative_all_infections",14,14,14,25,25,32,32,32
"Mississippi","return_normal","Past",2020-03-08,"cumulative_all_infections",14,14,14,25,25,32,32,32
"Mississippi","status_quo","Past",2020-03-08,"cumulative_all_infections",14,14,14,25,25,32,32,32
"Mississippi","linear_increase_sd","Past",2020-03-08,"cumulative_cases",2,2,2,2,2,2,2,2
"Mississippi","return_normal","Past",2020-03-08,"cumulative_cases",2,2,2,2,2,2,2,2
"Mississippi","status_quo","Past",2020-03-08,"cumulative_cases",2,2,2,2,2,2,2,2
"Mississippi","linear_increase_sd","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-08,"cumulative_hosps",1,1,1,1,1,1,1,1
"Mississippi","return_normal","Past",2020-03-08,"cumulative_hosps",1,1,1,1,1,1,1,1
"Mississippi","status_quo","Past",2020-03-08,"cumulative_hosps",1,1,1,1,1,1,1,1
