"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"Colorado","data","Past","2020-03-05","daily_cases",NA,NA,NA,0,NA,NA,NA,NA,1,1
"Colorado","data","Past","2020-03-05","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"Colorado","data","Past","2020-03-06","daily_cases",NA,NA,NA,2,NA,NA,NA,NA,1,0.816619241472313
"Colorado","data","Past","2020-03-06","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,0.816619241472313
"Colorado","data","Past","2020-03-07","daily_cases",NA,NA,NA,6,NA,NA,NA,NA,1,0.805618318452318
"Colorado","data","Past","2020-03-07","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,0.805618318452318
"Colorado","data","Past","2020-03-08","daily_cases",NA,NA,NA,0,NA,NA,NA,NA,1,0.79492648978904
"Colorado","data","Past","2020-03-08","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,0.79492648978904
"Colorado","data","Past","2020-03-09","daily_cases",NA,NA,NA,1,NA,NA,NA,NA,1,0.784510895973141
"Colorado","data","Past","2020-03-09","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,0.784510895973141
"Colorado","data","Past","2020-03-10","daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.995153473339158,0.774317174003146
"Colorado","data","Past","2020-03-10","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.995153473339158,0.774317174003146
"Colorado","data","Past","2020-03-11","daily_cases",NA,NA,NA,16,NA,NA,NA,NA,0.977900737901254,0.764271326580866
"Colorado","data","Past","2020-03-11","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.977900737901254,0.764271326580866
"Colorado","data","Past","2020-03-12","daily_cases",NA,NA,NA,17,NA,NA,NA,NA,0.95691731388992,0.754281494401671
"Colorado","data","Past","2020-03-12","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.95691731388992,0.754281494401671
"Colorado","data","Past","2020-03-13","daily_cases",NA,NA,NA,27,NA,NA,NA,NA,0.93256123931807,0.744239516806108
"Colorado","data","Past","2020-03-13","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.93256123931807,0.744239516806108
