"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95"
"Colorado","data","Past",2020-03-05,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Colorado","data","Past",2020-03-05,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Colorado","data","Past",2020-03-06,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA
"Colorado","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Colorado","data","Past",2020-03-07,"daily_cases",NA,NA,NA,6,NA,NA,NA,NA
"Colorado","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Colorado","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Colorado","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Colorado","data","Past",2020-03-09,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA
"Colorado","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Colorado","data","Past",2020-03-10,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA
"Colorado","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Colorado","data","Past",2020-03-11,"daily_cases",NA,NA,NA,16,NA,NA,NA,NA
"Colorado","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Colorado","data","Past",2020-03-12,"daily_cases",NA,NA,NA,17,NA,NA,NA,NA
"Colorado","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Colorado","data","Past",2020-03-13,"daily_cases",NA,NA,NA,27,NA,NA,NA,NA
"Colorado","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Colorado","data","Past",2020-03-14,"daily_cases",NA,NA,NA,29,NA,NA,NA,NA
"Colorado","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Colorado","data","Past",2020-03-15,"daily_cases",NA,NA,NA,30,NA,NA,NA,NA
"Colorado","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Colorado","data","Past",2020-03-16,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA
