"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"Louisiana","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.901961010934915,1
"Louisiana","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.901961010934915,1
"Louisiana","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.80556712348326,0.158869104880915
"Louisiana","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.80556712348326,0.158869104880915
"Louisiana","data","Past",2020-03-09,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.760245823281571,0.158869104880915
"Louisiana","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.760245823281571,0.158869104880915
"Louisiana","data","Past",2020-03-10,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.874028777240452,0.158869104880915
"Louisiana","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.874028777240452,0.158869104880915
"Louisiana","data","Past",2020-03-11,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA,0.816240813344304,0.119202922022118
"Louisiana","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.816240813344304,0.119202922022118
"Louisiana","data","Past",2020-03-12,"daily_cases",NA,NA,NA,8,NA,NA,NA,NA,0.821429182636999,0.0883996772070584
"Louisiana","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.821429182636999,0.0883996772070584
"Louisiana","data","Past",2020-03-13,"daily_cases",NA,NA,NA,22,NA,NA,NA,NA,0.773441044648821,0.0649691691286641
"Louisiana","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.773441044648821,0.0649691691286641
"Louisiana","data","Past",2020-03-14,"daily_cases",NA,NA,NA,15,NA,NA,NA,NA,0.73620349952637,0.0649691691286641
"Louisiana","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.73620349952637,0.0649691691286641
"Louisiana","data","Past",2020-03-15,"daily_cases",NA,NA,NA,39,NA,NA,NA,NA,0.784316698776703,0.0474258731775668
"Louisiana","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.784316698776703,0.0474258731775668
"Louisiana","data","Past",2020-03-16,"daily_cases",NA,NA,NA,25,NA,NA,NA,NA,0.772351470818299,0.0474258731775668
"Louisiana","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.772351470818299,0.0474258731775668
"Louisiana","data","Past",2020-03-17,"daily_cases",NA,NA,NA,22,NA,NA,NA,NA,0.764203241599535,0.0474258731775668
"Louisiana","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.764203241599535,0.0474258731775668
"Louisiana","data","Past",2020-03-18,"daily_cases",NA,NA,NA,103,NA,NA,NA,NA,0.777087261396977,0.0344451956662112
"Louisiana","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.777087261396977,0.0344451956662112
"Louisiana","data","Past",2020-03-19,"daily_cases",NA,NA,NA,107,NA,NA,NA,NA,0.759782288948805,0.0344451956662112
"Louisiana","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.759782288948805,0.0344451956662112
"Louisiana","data","Past",2020-03-20,"daily_cases",NA,NA,NA,126,NA,NA,NA,NA,0.778528894102367,0.0344451956662112
"Louisiana","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA,0.778528894102367,0.0344451956662112
"Louisiana","data","Past",2020-03-21,"daily_cases",NA,NA,NA,107,NA,NA,NA,NA,0.775612924721856,0.024924426647114
"Louisiana","data","Past",2020-03-21,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA,0.775612924721856,0.024924426647114
"Louisiana","data","Past",2020-03-22,"daily_cases",NA,NA,NA,257,NA,NA,NA,NA,0.74371622262609,0.024924426647114
"Louisiana","data","Past",2020-03-22,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA,0.74371622262609,0.024924426647114
"Louisiana","data","Past",2020-03-23,"daily_cases",NA,NA,NA,335,NA,NA,NA,NA,0.787779527947572,0.024924426647114
"Louisiana","data","Past",2020-03-23,"daily_deaths",NA,NA,NA,14,NA,NA,NA,NA,0.787779527947572,0.024924426647114
"Louisiana","data","Past",2020-03-24,"daily_cases",NA,NA,NA,216,NA,NA,NA,NA,0.774803353138953,0.024924426647114
"Louisiana","data","Past",2020-03-24,"daily_deaths",NA,NA,NA,12,NA,NA,NA,NA,0.774803353138953,0.024924426647114
"Louisiana","data","Past",2020-03-25,"daily_cases",NA,NA,NA,407,NA,NA,NA,NA,0.871509661862921,0.024924426647114
"Louisiana","data","Past",2020-03-25,"daily_deaths",NA,NA,NA,19,NA,NA,NA,NA,0.871509661862921,0.024924426647114
"Louisiana","data","Past",2020-03-26,"daily_cases",NA,NA,NA,510,NA,NA,NA,NA,0.766432849726251,0.0179862099620916
"Louisiana","data","Past",2020-03-26,"daily_deaths",NA,NA,NA,18,NA,NA,NA,NA,0.766432849726251,0.0179862099620916
"Louisiana","data","Past",2020-03-27,"daily_cases",NA,NA,NA,441,NA,NA,NA,NA,0.867234119395622,0.0129537275306959
"Louisiana","data","Past",2020-03-27,"daily_deaths",NA,NA,NA,36,NA,NA,NA,NA,0.867234119395622,0.0129537275306959
"Louisiana","data","Past",2020-03-28,"daily_cases",NA,NA,NA,569,NA,NA,NA,NA,0.768081378462287,0.0129537275306959
"Louisiana","data","Past",2020-03-28,"daily_deaths",NA,NA,NA,18,NA,NA,NA,NA,0.768081378462287,0.0129537275306959
"Louisiana","data","Past",2020-03-29,"daily_cases",NA,NA,NA,225,NA,NA,NA,NA,0.730284393455389,0.0129537275306959
"Louisiana","data","Past",2020-03-29,"daily_deaths",NA,NA,NA,14,NA,NA,NA,NA,0.730284393455389,0.0129537275306959
"Louisiana","data","Past",2020-03-30,"daily_cases",NA,NA,NA,485,NA,NA,NA,NA,0.798576725248906,0.0129537275306959
"Louisiana","data","Past",2020-03-30,"daily_deaths",NA,NA,NA,34,NA,NA,NA,NA,0.798576725248906,0.0129537275306959
"Louisiana","data","Past",2020-03-31,"daily_cases",NA,NA,NA,1212,NA,NA,NA,NA,0.699229510682817,0.0129537275306959
"Louisiana","data","Past",2020-03-31,"daily_deaths",NA,NA,NA,54,NA,NA,NA,NA,0.699229510682817,0.0129537275306959
"Louisiana","data","Past",2020-04-01,"daily_cases",NA,NA,NA,1187,NA,NA,NA,NA,0.746521825743642,0.00931595934506669
"Louisiana","data","Past",2020-04-01,"daily_deaths",NA,NA,NA,34,NA,NA,NA,NA,0.746521825743642,0.00931595934506669
"Louisiana","data","Past",2020-04-02,"daily_cases",NA,NA,NA,2726,NA,NA,NA,NA,0.725504345256693,0.00931595934506669
"Louisiana","data","Past",2020-04-02,"daily_deaths",NA,NA,NA,37,NA,NA,NA,NA,0.725504345256693,0.00931595934506669
"Louisiana","data","Past",2020-04-03,"daily_cases",NA,NA,NA,1147,NA,NA,NA,NA,0.720554356721754,0.00931595934506669
"Louisiana","data","Past",2020-04-03,"daily_deaths",NA,NA,NA,60,NA,NA,NA,NA,0.720554356721754,0.00931595934506669
"Louisiana","data","Past",2020-04-04,"daily_cases",NA,NA,NA,2199,NA,NA,NA,NA,0.821845348380615,0.00931595934506669
"Louisiana","data","Past",2020-04-04,"daily_deaths",NA,NA,NA,39,NA,NA,NA,NA,0.821845348380615,0.00931595934506669
"Louisiana","data","Past",2020-04-05,"daily_cases",NA,NA,NA,514,NA,NA,NA,NA,0.757274743104476,0.00931595934506669
"Louisiana","data","Past",2020-04-05,"daily_deaths",NA,NA,NA,68,NA,NA,NA,NA,0.757274743104476,0.00931595934506669
"Louisiana","data","Past",2020-04-06,"daily_cases",NA,NA,NA,1857,NA,NA,NA,NA,0.775052680186862,0.00931595934506669
"Louisiana","data","Past",2020-04-06,"daily_deaths",NA,NA,NA,35,NA,NA,NA,NA,0.775052680186862,0.00931595934506669
"Louisiana","data","Past",2020-04-07,"daily_cases",NA,NA,NA,1417,NA,NA,NA,NA,0.761699144391771,0.00931595934506669
"Louisiana","data","Past",2020-04-07,"daily_deaths",NA,NA,NA,70,NA,NA,NA,NA,0.761699144391771,0.00931595934506669
"Louisiana","data","Past",2020-04-08,"daily_cases",NA,NA,NA,746,NA,NA,NA,NA,0.775586183451565,0.00931595934506669
"Louisiana","data","Past",2020-04-08,"daily_deaths",NA,NA,NA,70,NA,NA,NA,NA,0.775586183451565,0.00931595934506669
"Louisiana","data","Past",2020-04-09,"daily_cases",NA,NA,NA,1253,NA,NA,NA,NA,0.694880183795557,0.00931595934506669
"Louisiana","data","Past",2020-04-09,"daily_deaths",NA,NA,NA,50,NA,NA,NA,NA,0.694880183795557,0.00931595934506669
"Louisiana","data","Past",2020-04-10,"daily_cases",NA,NA,NA,970,NA,NA,NA,NA,0.733389113793713,0.00931595934506669
"Louisiana","data","Past",2020-04-10,"daily_deaths",NA,NA,NA,53,NA,NA,NA,NA,0.733389113793713,0.00931595934506669
"Louisiana","data","Past",2020-04-11,"daily_cases",NA,NA,NA,761,NA,NA,NA,NA,0.749056788152542,0.00931595934506669
"Louisiana","data","Past",2020-04-11,"daily_deaths",NA,NA,NA,51,NA,NA,NA,NA,0.749056788152542,0.00931595934506669
"Louisiana","data","Past",2020-04-12,"daily_cases",NA,NA,NA,581,NA,NA,NA,NA,0.691728498674502,0.00931595934506669
"Louisiana","data","Past",2020-04-12,"daily_deaths",NA,NA,NA,34,NA,NA,NA,NA,0.691728498674502,0.00931595934506669
"Louisiana","data","Past",2020-04-13,"daily_cases",NA,NA,NA,421,NA,NA,NA,NA,0.695734313265056,0.00931595934506669
"Louisiana","data","Past",2020-04-13,"daily_deaths",NA,NA,NA,44,NA,NA,NA,NA,0.695734313265056,0.00931595934506669
"Louisiana","data","Past",2020-04-14,"daily_cases",NA,NA,NA,502,NA,NA,NA,NA,0.760997316969246,0.00931595934506669
