"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"Kansas","data","Past",2020-03-06,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.864081719730187,1
"Kansas","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.864081719730187,1
"Kansas","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.800056960451358,0.982013790037908
"Kansas","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.800056960451358,0.982013790037908
"Kansas","data","Past",2020-03-08,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.782535164066381,0.982013790037908
"Kansas","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.782535164066381,0.982013790037908
"Kansas","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.770883513469148,0.979308887729912
"Kansas","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.770883513469148,0.979308887729912
"Kansas","data","Past",2020-03-10,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.768586701880371,0.976207057601835
"Kansas","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.768586701880371,0.976207057601835
"Kansas","data","Past",2020-03-11,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.773525011220544,0.972653213203817
"Kansas","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.773525011220544,0.972653213203817
"Kansas","data","Past",2020-03-12,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.855669947926352,0.96858562896843
"Kansas","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.855669947926352,0.96858562896843
"Kansas","data","Past",2020-03-13,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.798444811607499,0.963935461900834
"Kansas","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.798444811607499,0.963935461900834
"Kansas","data","Past",2020-03-14,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.765053831383351,0.945686733867359
"Kansas","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.765053831383351,0.945686733867359
"Kansas","data","Past",2020-03-15,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.799094012765021,0.93786436691357
"Kansas","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.799094012765021,0.93786436691357
"Kansas","data","Past",2020-03-16,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.817203127441364,0.913500307794393
"Kansas","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.817203127441364,0.913500307794393
"Kansas","data","Past",2020-03-17,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.769846190226324,0.894999414979735
