"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"Indiana",NA,"Past",2020-03-08,"actual_cumulative_cases",NA,NA,NA,1,NA,NA,NA,NA
"Indiana",NA,"Past",2020-03-08,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Indiana",NA,"Past",2020-03-08,"actual_daily_cases",NA,NA,NA,1,NA,NA,NA,NA
"Indiana",NA,"Past",2020-03-08,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Indiana","linear_increase_sd","Past",2020-03-08,"combined_trend",NA,NA,NA,0.953311800439659,NA,NA,NA,NA
"Indiana","return_normal","Past",2020-03-08,"combined_trend",NA,NA,NA,0.953311800439659,NA,NA,NA,NA
"Indiana","status_quo","Past",2020-03-08,"combined_trend",NA,NA,NA,0.953311800439659,NA,NA,NA,NA
"Indiana","linear_increase_sd","Past",2020-03-08,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Indiana","return_normal","Past",2020-03-08,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Indiana","status_quo","Past",2020-03-08,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Indiana","linear_increase_sd","Past",2020-03-08,"cumulative_cases",0,0,0,0,0,0,0,0
"Indiana","return_normal","Past",2020-03-08,"cumulative_cases",0,0,0,0,0,0,0,0
"Indiana","status_quo","Past",2020-03-08,"cumulative_cases",0,0,0,0,0,0,0,0
"Indiana","linear_increase_sd","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"Indiana","return_normal","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"Indiana","status_quo","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"Indiana","linear_increase_sd","Past",2020-03-08,"cumulative_hosps",0,0,0,0,0,0,0,0
"Indiana","return_normal","Past",2020-03-08,"cumulative_hosps",0,0,0,0,0,0,0,0
"Indiana","status_quo","Past",2020-03-08,"cumulative_hosps",0,0,0,0,0,0,0,0
"Indiana","linear_increase_sd","Past",2020-03-08,"daily_all_infections",0,0,0,0,0,0,0,0
"Indiana","return_normal","Past",2020-03-08,"daily_all_infections",0,0,0,0,0,0,0,0
"Indiana","status_quo","Past",2020-03-08,"daily_all_infections",0,0,0,0,0,0,0,0
"Indiana","linear_increase_sd","Past",2020-03-08,"daily_cases",0,0,0,0,0,0,0,0
"Indiana","return_normal","Past",2020-03-08,"daily_cases",0,0,0,0,0,0,0,0
"Indiana","status_quo","Past",2020-03-08,"daily_cases",0,0,0,0,0,0,0,0
"Indiana","linear_increase_sd","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"Indiana","return_normal","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"Indiana","status_quo","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"Indiana","linear_increase_sd","Past",2020-03-08,"daily_hosps",0,0,0,0,0,0,0,0
"Indiana","return_normal","Past",2020-03-08,"daily_hosps",0,0,0,0,0,0,0,0
"Indiana","status_quo","Past",2020-03-08,"daily_hosps",0,0,0,0,0,0,0,0
"Indiana","linear_increase_sd","Past",2020-03-08,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Indiana","return_normal","Past",2020-03-08,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Indiana","status_quo","Past",2020-03-08,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Indiana","linear_increase_sd","Past",2020-03-08,"mobility_trend",NA,NA,NA,0.953311800439659,NA,NA,NA,NA
"Indiana","return_normal","Past",2020-03-08,"mobility_trend",NA,NA,NA,0.953311800439659,NA,NA,NA,NA
"Indiana","status_quo","Past",2020-03-08,"mobility_trend",NA,NA,NA,0.953311800439659,NA,NA,NA,NA
"Indiana",NA,"Past",2020-03-09,"actual_cumulative_cases",NA,NA,NA,1,NA,NA,NA,NA
"Indiana",NA,"Past",2020-03-09,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Indiana",NA,"Past",2020-03-09,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Indiana",NA,"Past",2020-03-09,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Indiana","linear_increase_sd","Past",2020-03-09,"combined_trend",NA,NA,NA,0.935694149728212,NA,NA,NA,NA
"Indiana","return_normal","Past",2020-03-09,"combined_trend",NA,NA,NA,0.935694149728212,NA,NA,NA,NA
"Indiana","status_quo","Past",2020-03-09,"combined_trend",NA,NA,NA,0.935694149728212,NA,NA,NA,NA
"Indiana","linear_increase_sd","Past",2020-03-09,"cumulative_all_infections",134,134,134,147,136,169,169,169
"Indiana","return_normal","Past",2020-03-09,"cumulative_all_infections",134,134,134,147,136,169,169,169
"Indiana","status_quo","Past",2020-03-09,"cumulative_all_infections",134,134,134,147,136,169,169,169
"Indiana","linear_increase_sd","Past",2020-03-09,"cumulative_cases",3,3,3,4,4,5,5,5
"Indiana","return_normal","Past",2020-03-09,"cumulative_cases",3,3,3,4,4,5,5,5
"Indiana","status_quo","Past",2020-03-09,"cumulative_cases",3,3,3,4,4,5,5,5
"Indiana","linear_increase_sd","Past",2020-03-09,"cumulative_deaths",0,0,0,0,0,0,0,0
"Indiana","return_normal","Past",2020-03-09,"cumulative_deaths",0,0,0,0,0,0,0,0
"Indiana","status_quo","Past",2020-03-09,"cumulative_deaths",0,0,0,0,0,0,0,0
"Indiana","linear_increase_sd","Past",2020-03-09,"cumulative_hosps",1,1,1,1,1,1,1,1
"Indiana","return_normal","Past",2020-03-09,"cumulative_hosps",1,1,1,1,1,1,1,1
"Indiana","status_quo","Past",2020-03-09,"cumulative_hosps",1,1,1,1,1,1,1,1
"Indiana","linear_increase_sd","Past",2020-03-09,"daily_all_infections",134,134,134,147,136,169,169,169
"Indiana","return_normal","Past",2020-03-09,"daily_all_infections",134,134,134,147,136,169,169,169
"Indiana","status_quo","Past",2020-03-09,"daily_all_infections",134,134,134,147,136,169,169,169
"Indiana","linear_increase_sd","Past",2020-03-09,"daily_cases",3,3,3,4,4,5,5,5
