"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"Washington",NA,"Past",2020-02-29,"actual_cumulative_cases",NA,NA,NA,6,NA,NA,NA,NA
"Washington",NA,"Past",2020-02-29,"actual_cumulative_deaths",NA,NA,NA,1,NA,NA,NA,NA
"Washington",NA,"Past",2020-02-29,"actual_daily_cases",NA,NA,NA,6,NA,NA,NA,NA
"Washington",NA,"Past",2020-02-29,"actual_daily_deaths",NA,NA,NA,1,NA,NA,NA,NA
"Washington","linear_increase_sd","Past",2020-02-29,"combined_trend",NA,NA,NA,0.971032290400595,NA,NA,NA,NA
"Washington","return_normal","Past",2020-02-29,"combined_trend",NA,NA,NA,0.971032290400595,NA,NA,NA,NA
"Washington","status_quo","Past",2020-02-29,"combined_trend",NA,NA,NA,0.971032290400595,NA,NA,NA,NA
"Washington","linear_increase_sd","Past",2020-02-29,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Washington","return_normal","Past",2020-02-29,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Washington","status_quo","Past",2020-02-29,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Washington","linear_increase_sd","Past",2020-02-29,"cumulative_cases",0,0,0,0,0,0,0,0
"Washington","return_normal","Past",2020-02-29,"cumulative_cases",0,0,0,0,0,0,0,0
"Washington","status_quo","Past",2020-02-29,"cumulative_cases",0,0,0,0,0,0,0,0
"Washington","linear_increase_sd","Past",2020-02-29,"cumulative_deaths",0,0,0,0,0,0,0,0
"Washington","return_normal","Past",2020-02-29,"cumulative_deaths",0,0,0,0,0,0,0,0
"Washington","status_quo","Past",2020-02-29,"cumulative_deaths",0,0,0,0,0,0,0,0
"Washington","linear_increase_sd","Past",2020-02-29,"cumulative_hosps",0,0,0,0,0,0,0,0
"Washington","return_normal","Past",2020-02-29,"cumulative_hosps",0,0,0,0,0,0,0,0
"Washington","status_quo","Past",2020-02-29,"cumulative_hosps",0,0,0,0,0,0,0,0
"Washington","linear_increase_sd","Past",2020-02-29,"daily_all_infections",0,0,0,0,0,0,0,0
"Washington","return_normal","Past",2020-02-29,"daily_all_infections",0,0,0,0,0,0,0,0
"Washington","status_quo","Past",2020-02-29,"daily_all_infections",0,0,0,0,0,0,0,0
"Washington","linear_increase_sd","Past",2020-02-29,"daily_cases",0,0,0,0,0,0,0,0
"Washington","return_normal","Past",2020-02-29,"daily_cases",0,0,0,0,0,0,0,0
"Washington","status_quo","Past",2020-02-29,"daily_cases",0,0,0,0,0,0,0,0
