"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"Pennsylvania",NA,"Past",2020-03-07,"actual_cumulative_cases",NA,NA,NA,2,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-07,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-07,"actual_daily_cases",NA,NA,NA,2,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-07,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Pennsylvania","linear_increase_sd","Past",2020-03-07,"combined_trend",NA,NA,NA,0.950152854572356,NA,NA,NA,NA
"Pennsylvania","return_normal","Past",2020-03-07,"combined_trend",NA,NA,NA,0.950152854572356,NA,NA,NA,NA
"Pennsylvania","status_quo","Past",2020-03-07,"combined_trend",NA,NA,NA,0.950152854572356,NA,NA,NA,NA
"Pennsylvania","linear_increase_sd","Past",2020-03-07,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Pennsylvania","return_normal","Past",2020-03-07,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Pennsylvania","status_quo","Past",2020-03-07,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Pennsylvania","linear_increase_sd","Past",2020-03-07,"cumulative_cases",0,0,0,0,0,0,0,0
"Pennsylvania","return_normal","Past",2020-03-07,"cumulative_cases",0,0,0,0,0,0,0,0
"Pennsylvania","status_quo","Past",2020-03-07,"cumulative_cases",0,0,0,0,0,0,0,0
"Pennsylvania","linear_increase_sd","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"Pennsylvania","return_normal","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"Pennsylvania","status_quo","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"Pennsylvania","linear_increase_sd","Past",2020-03-07,"cumulative_hosps",0,0,0,0,0,0,0,0
"Pennsylvania","return_normal","Past",2020-03-07,"cumulative_hosps",0,0,0,0,0,0,0,0
"Pennsylvania","status_quo","Past",2020-03-07,"cumulative_hosps",0,0,0,0,0,0,0,0
"Pennsylvania","linear_increase_sd","Past",2020-03-07,"daily_all_infections",0,0,0,0,0,0,0,0
"Pennsylvania","return_normal","Past",2020-03-07,"daily_all_infections",0,0,0,0,0,0,0,0
"Pennsylvania","status_quo","Past",2020-03-07,"daily_all_infections",0,0,0,0,0,0,0,0
"Pennsylvania","linear_increase_sd","Past",2020-03-07,"daily_cases",0,0,0,0,0,0,0,0
"Pennsylvania","return_normal","Past",2020-03-07,"daily_cases",0,0,0,0,0,0,0,0
"Pennsylvania","status_quo","Past",2020-03-07,"daily_cases",0,0,0,0,0,0,0,0
"Pennsylvania","linear_increase_sd","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"Pennsylvania","return_normal","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"Pennsylvania","status_quo","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"Pennsylvania","linear_increase_sd","Past",2020-03-07,"daily_hosps",0,0,0,0,0,0,0,0
"Pennsylvania","return_normal","Past",2020-03-07,"daily_hosps",0,0,0,0,0,0,0,0
"Pennsylvania","status_quo","Past",2020-03-07,"daily_hosps",0,0,0,0,0,0,0,0
"Pennsylvania","linear_increase_sd","Past",2020-03-07,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Pennsylvania","return_normal","Past",2020-03-07,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Pennsylvania","status_quo","Past",2020-03-07,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Pennsylvania","linear_increase_sd","Past",2020-03-07,"mobility_trend",NA,NA,NA,0.950152854572356,NA,NA,NA,NA
"Pennsylvania","return_normal","Past",2020-03-07,"mobility_trend",NA,NA,NA,0.950152854572356,NA,NA,NA,NA
"Pennsylvania","status_quo","Past",2020-03-07,"mobility_trend",NA,NA,NA,0.950152854572356,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-08,"actual_cumulative_cases",NA,NA,NA,4,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-08,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-08,"actual_daily_cases",NA,NA,NA,2,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-08,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Pennsylvania","linear_increase_sd","Past",2020-03-08,"combined_trend",NA,NA,NA,0.931026459880396,NA,NA,NA,NA
"Pennsylvania","return_normal","Past",2020-03-08,"combined_trend",NA,NA,NA,0.931026459880396,NA,NA,NA,NA
"Pennsylvania","status_quo","Past",2020-03-08,"combined_trend",NA,NA,NA,0.931026459880396,NA,NA,NA,NA
"Pennsylvania","linear_increase_sd","Past",2020-03-08,"cumulative_all_infections",601,601,601,601,601,601,601,601
"Pennsylvania","return_normal","Past",2020-03-08,"cumulative_all_infections",601,601,601,601,601,601,601,601
"Pennsylvania","status_quo","Past",2020-03-08,"cumulative_all_infections",601,601,601,601,601,601,601,601
"Pennsylvania","linear_increase_sd","Past",2020-03-08,"cumulative_cases",3,3,3,3,3,3,3,3
"Pennsylvania","return_normal","Past",2020-03-08,"cumulative_cases",3,3,3,3,3,3,3,3
"Pennsylvania","status_quo","Past",2020-03-08,"cumulative_cases",3,3,3,3,3,3,3,3
"Pennsylvania","linear_increase_sd","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"Pennsylvania","return_normal","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"Pennsylvania","status_quo","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"Pennsylvania","linear_increase_sd","Past",2020-03-08,"cumulative_hosps",1,1,1,1,1,1,1,1
"Pennsylvania","return_normal","Past",2020-03-08,"cumulative_hosps",1,1,1,1,1,1,1,1
"Pennsylvania","status_quo","Past",2020-03-08,"cumulative_hosps",1,1,1,1,1,1,1,1
"Pennsylvania","linear_increase_sd","Past",2020-03-08,"daily_all_infections",601,601,601,601,601,601,601,601
"Pennsylvania","return_normal","Past",2020-03-08,"daily_all_infections",601,601,601,601,601,601,601,601
"Pennsylvania","status_quo","Past",2020-03-08,"daily_all_infections",601,601,601,601,601,601,601,601
"Pennsylvania","linear_increase_sd","Past",2020-03-08,"daily_cases",3,3,3,3,3,3,3,3
"Pennsylvania","return_normal","Past",2020-03-08,"daily_cases",3,3,3,3,3,3,3,3
"Pennsylvania","status_quo","Past",2020-03-08,"daily_cases",3,3,3,3,3,3,3,3
"Pennsylvania","linear_increase_sd","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"Pennsylvania","return_normal","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"Pennsylvania","status_quo","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"Pennsylvania","linear_increase_sd","Past",2020-03-08,"daily_hosps",1,1,1,1,1,1,1,1
"Pennsylvania","return_normal","Past",2020-03-08,"daily_hosps",1,1,1,1,1,1,1,1
"Pennsylvania","status_quo","Past",2020-03-08,"daily_hosps",1,1,1,1,1,1,1,1
"Pennsylvania","linear_increase_sd","Past",2020-03-08,"latent_trend",NA,NA,NA,0.993606854150302,NA,NA,NA,NA
"Pennsylvania","return_normal","Past",2020-03-08,"latent_trend",NA,NA,NA,0.993606854150302,NA,NA,NA,NA
"Pennsylvania","status_quo","Past",2020-03-08,"latent_trend",NA,NA,NA,0.993606854150302,NA,NA,NA,NA
"Pennsylvania","linear_increase_sd","Past",2020-03-08,"mobility_trend",NA,NA,NA,0.93701694587904,NA,NA,NA,NA
"Pennsylvania","return_normal","Past",2020-03-08,"mobility_trend",NA,NA,NA,0.93701694587904,NA,NA,NA,NA
"Pennsylvania","status_quo","Past",2020-03-08,"mobility_trend",NA,NA,NA,0.93701694587904,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-09,"actual_cumulative_cases",NA,NA,NA,8,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-09,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-09,"actual_daily_cases",NA,NA,NA,4,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-09,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Pennsylvania","linear_increase_sd","Past",2020-03-09,"combined_trend",NA,NA,NA,0.917447078540341,NA,NA,NA,NA
"Pennsylvania","return_normal","Past",2020-03-09,"combined_trend",NA,NA,NA,0.917447078540341,NA,NA,NA,NA
"Pennsylvania","status_quo","Past",2020-03-09,"combined_trend",NA,NA,NA,0.917447078540341,NA,NA,NA,NA
"Pennsylvania","linear_increase_sd","Past",2020-03-09,"cumulative_all_infections",1135,1135,1135,1135,1135,1135,1135,1135
"Pennsylvania","return_normal","Past",2020-03-09,"cumulative_all_infections",1135,1135,1135,1135,1135,1135,1135,1135
"Pennsylvania","status_quo","Past",2020-03-09,"cumulative_all_infections",1135,1135,1135,1135,1135,1135,1135,1135
"Pennsylvania","linear_increase_sd","Past",2020-03-09,"cumulative_cases",5,5,5,5,5,5,5,5
"Pennsylvania","return_normal","Past",2020-03-09,"cumulative_cases",5,5,5,5,5,5,5,5
"Pennsylvania","status_quo","Past",2020-03-09,"cumulative_cases",5,5,5,5,5,5,5,5
"Pennsylvania","linear_increase_sd","Past",2020-03-09,"cumulative_deaths",1,1,1,1,1,1,1,1
"Pennsylvania","return_normal","Past",2020-03-09,"cumulative_deaths",1,1,1,1,1,1,1,1
"Pennsylvania","status_quo","Past",2020-03-09,"cumulative_deaths",1,1,1,1,1,1,1,1
"Pennsylvania","linear_increase_sd","Past",2020-03-09,"cumulative_hosps",2,2,2,2,2,2,2,2
"Pennsylvania","return_normal","Past",2020-03-09,"cumulative_hosps",2,2,2,2,2,2,2,2
"Pennsylvania","status_quo","Past",2020-03-09,"cumulative_hosps",2,2,2,2,2,2,2,2
"Pennsylvania","linear_increase_sd","Past",2020-03-09,"daily_all_infections",534,534,534,534,534,534,534,534
"Pennsylvania","return_normal","Past",2020-03-09,"daily_all_infections",534,534,534,534,534,534,534,534
"Pennsylvania","status_quo","Past",2020-03-09,"daily_all_infections",534,534,534,534,534,534,534,534
"Pennsylvania","linear_increase_sd","Past",2020-03-09,"daily_cases",2,2,2,2,2,2,2,2
"Pennsylvania","return_normal","Past",2020-03-09,"daily_cases",2,2,2,2,2,2,2,2
"Pennsylvania","status_quo","Past",2020-03-09,"daily_cases",2,2,2,2,2,2,2,2
"Pennsylvania","linear_increase_sd","Past",2020-03-09,"daily_deaths",1,1,1,1,1,1,1,1
"Pennsylvania","return_normal","Past",2020-03-09,"daily_deaths",1,1,1,1,1,1,1,1
"Pennsylvania","status_quo","Past",2020-03-09,"daily_deaths",1,1,1,1,1,1,1,1
"Pennsylvania","linear_increase_sd","Past",2020-03-09,"daily_hosps",1,1,1,1,1,1,1,1
"Pennsylvania","return_normal","Past",2020-03-09,"daily_hosps",1,1,1,1,1,1,1,1
"Pennsylvania","status_quo","Past",2020-03-09,"daily_hosps",1,1,1,1,1,1,1,1
"Pennsylvania","linear_increase_sd","Past",2020-03-09,"latent_trend",NA,NA,NA,0.994516983131413,NA,NA,NA,NA
"Pennsylvania","return_normal","Past",2020-03-09,"latent_trend",NA,NA,NA,0.994516983131413,NA,NA,NA,NA
"Pennsylvania","status_quo","Past",2020-03-09,"latent_trend",NA,NA,NA,0.994516983131413,NA,NA,NA,NA
"Pennsylvania","linear_increase_sd","Past",2020-03-09,"mobility_trend",NA,NA,NA,0.922505190058793,NA,NA,NA,NA
"Pennsylvania","return_normal","Past",2020-03-09,"mobility_trend",NA,NA,NA,0.922505190058793,NA,NA,NA,NA
"Pennsylvania","status_quo","Past",2020-03-09,"mobility_trend",NA,NA,NA,0.922505190058793,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-10,"actual_cumulative_cases",NA,NA,NA,10,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-10,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-10,"actual_daily_cases",NA,NA,NA,2,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-10,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Pennsylvania","linear_increase_sd","Past",2020-03-10,"combined_trend",NA,NA,NA,0.902277056088756,NA,NA,NA,NA
"Pennsylvania","return_normal","Past",2020-03-10,"combined_trend",NA,NA,NA,0.902277056088756,NA,NA,NA,NA
"Pennsylvania","status_quo","Past",2020-03-10,"combined_trend",NA,NA,NA,0.902277056088756,NA,NA,NA,NA
"Pennsylvania","linear_increase_sd","Past",2020-03-10,"cumulative_all_infections",1632,1632,1632,1632,1632,1632,1632,1632
"Pennsylvania","return_normal","Past",2020-03-10,"cumulative_all_infections",1632,1632,1632,1632,1632,1632,1632,1632
"Pennsylvania","status_quo","Past",2020-03-10,"cumulative_all_infections",1632,1632,1632,1632,1632,1632,1632,1632
"Pennsylvania","linear_increase_sd","Past",2020-03-10,"cumulative_cases",8,8,8,8,8,8,8,8
"Pennsylvania","return_normal","Past",2020-03-10,"cumulative_cases",8,8,8,8,8,8,8,8
"Pennsylvania","status_quo","Past",2020-03-10,"cumulative_cases",8,8,8,8,8,8,8,8
"Pennsylvania","linear_increase_sd","Past",2020-03-10,"cumulative_deaths",2,2,2,2,2,2,2,2
"Pennsylvania","return_normal","Past",2020-03-10,"cumulative_deaths",2,2,2,2,2,2,2,2
"Pennsylvania","status_quo","Past",2020-03-10,"cumulative_deaths",2,2,2,2,2,2,2,2
"Pennsylvania","linear_increase_sd","Past",2020-03-10,"cumulative_hosps",3,3,3,3,3,3,3,3
"Pennsylvania","return_normal","Past",2020-03-10,"cumulative_hosps",3,3,3,3,3,3,3,3
"Pennsylvania","status_quo","Past",2020-03-10,"cumulative_hosps",3,3,3,3,3,3,3,3
"Pennsylvania","linear_increase_sd","Past",2020-03-10,"daily_all_infections",497,497,497,497,497,497,497,497
"Pennsylvania","return_normal","Past",2020-03-10,"daily_all_infections",497,497,497,497,497,497,497,497
"Pennsylvania","status_quo","Past",2020-03-10,"daily_all_infections",497,497,497,497,497,497,497,497
"Pennsylvania","linear_increase_sd","Past",2020-03-10,"daily_cases",3,3,3,3,3,3,3,3
"Pennsylvania","return_normal","Past",2020-03-10,"daily_cases",3,3,3,3,3,3,3,3
"Pennsylvania","status_quo","Past",2020-03-10,"daily_cases",3,3,3,3,3,3,3,3
"Pennsylvania","linear_increase_sd","Past",2020-03-10,"daily_deaths",1,1,1,1,1,1,1,1
"Pennsylvania","return_normal","Past",2020-03-10,"daily_deaths",1,1,1,1,1,1,1,1
"Pennsylvania","status_quo","Past",2020-03-10,"daily_deaths",1,1,1,1,1,1,1,1
"Pennsylvania","linear_increase_sd","Past",2020-03-10,"daily_hosps",1,1,1,1,1,1,1,1
"Pennsylvania","return_normal","Past",2020-03-10,"daily_hosps",1,1,1,1,1,1,1,1
"Pennsylvania","status_quo","Past",2020-03-10,"daily_hosps",1,1,1,1,1,1,1,1
"Pennsylvania","linear_increase_sd","Past",2020-03-10,"latent_trend",NA,NA,NA,0.995111013148743,NA,NA,NA,NA
"Pennsylvania","return_normal","Past",2020-03-10,"latent_trend",NA,NA,NA,0.995111013148743,NA,NA,NA,NA
"Pennsylvania","status_quo","Past",2020-03-10,"latent_trend",NA,NA,NA,0.995111013148743,NA,NA,NA,NA
"Pennsylvania","linear_increase_sd","Past",2020-03-10,"mobility_trend",NA,NA,NA,0.906709949107848,NA,NA,NA,NA
"Pennsylvania","return_normal","Past",2020-03-10,"mobility_trend",NA,NA,NA,0.906709949107848,NA,NA,NA,NA
"Pennsylvania","status_quo","Past",2020-03-10,"mobility_trend",NA,NA,NA,0.906709949107848,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-11,"actual_cumulative_cases",NA,NA,NA,14,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-11,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-11,"actual_daily_cases",NA,NA,NA,4,NA,NA,NA,NA
"Pennsylvania",NA,"Past",2020-03-11,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Pennsylvania","linear_increase_sd","Past",2020-03-11,"combined_trend",NA,NA,NA,0.885722653318535,NA,NA,NA,NA
"Pennsylvania","return_normal","Past",2020-03-11,"combined_trend",NA,NA,NA,0.885722653318535,NA,NA,NA,NA
"Pennsylvania","status_quo","Past",2020-03-11,"combined_trend",NA,NA,NA,0.885722653318535,NA,NA,NA,NA
